tourney_year,tourney_name,tourney_name_slug,tourney_id,tourney_location,tourney_dates,tourney_singles_draw,tourney_doubles_draw,tourney_conditions,tourney_surface,player_name,player_slug,player_id,player_event_points,player_ranking,match_round,opponent_name,opponent_name_slug,opponent_player_id,opponent_rank,match_win_loss,match_score,sets_won,sets_lost,sets_total,games_won,games_lost,games_total,tiebreaks_won,tiebreaks_lost,tiebreaks_total,match_time,match_duration,player_aces,player_double_faults,player_first_serves_in,player_first_serves_total,player_first_serve_percentage,player_first_serve_points_won,player_first_serve_points_total,player_first_serve_points_won_percentage,player_second_serve_points_won,player_second_serve_points_total,player_second_serve_points_won_percentage,player_break_points_saved,player_break_points_serve_total,player_break_points_saved_percentage,player_service_points_won,player_service_points_total,player_service_points_won_percentage,player_first_serve_return_won,player_first_serve_return_total,player_first_serve_return_percentage,player_second_serve_return_won,player_second_serve_return_total,player_second_serve_return_won_percentage,player_break_points_converted,player_break_points_return_total,player_break_points_converted_percentage,player_service_games_played,player_return_games_played,player_return_points_won,player_return_points_total,player_total_points_won,player_total_points_total,player_total_points_won_percentage,opponent_aces,opponent_double_faults,opponent_first_serves_in,opponent_first_serves_total,opponent_first_serve_percentage,opponent_first_serve_points_won,opponent_first_serve_points_total,opponent_first_serve_points_won_percentage,opponent_second_serve_points_won,opponent_second_serve_points_total,opponent_second_serve_points_won_percentage,opponent_break_points_saved,opponent_break_points_serve_total,opponent_break_points_saved_percentage,opponent_service_points_won,opponent_service_points_total,opponent_service_points_won_percentage,opponent_first_serve_return_won,opponent_first_serve_return_total,opponent_first_serve_return_percentage,opponent_second_serve_return_won,opponent_second_serve_return_total,opponent_second_serve_return_won_percentage,opponent_break_points_converted,opponent_break_points_return_total,opponent_break_points_converted_percentage,opponent_service_games_played,opponent_return_games_played,opponent_return_points_won,opponent_return_points_total,opponent_total_points_won,opponent_total_points_total,opponent_total_points_won_percentage
2014,FRA  vs. SUI DC Final,,,"Lille, France",2014.11.17 - 2014.11.23,4,1,Indoor,Clay,Roger Federer,roger-federer,f324,0,2,Round Robin,Richard Gasquet,richard-gasquet,g628,26,W,64 62 62,3,0,3,18,8,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,FRA  vs. SUI DC Final,,,"Lille, France",2014.11.17 - 2014.11.23,4,1,Indoor,Clay,Roger Federer,roger-federer,f324,0,2,Round Robin,Gael Monfils,gael-monfils,mc65,19,L,16 46 36,0,3,3,8,18,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,Barclays ATP World Tour Finals,barclays-atp-world-tour-finals,605,"London, Great Britain",2014.11.10 - 2014.11.16,8,8,Indoor,Hard,Roger Federer,roger-federer,f324,1000,2,Finals,Novak Djokovic,novak-djokovic,d643,1,L,(W/O),0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,Barclays ATP World Tour Finals,barclays-atp-world-tour-finals,605,"London, Great Britain",2014.11.10 - 2014.11.16,8,8,Indoor,Hard,Roger Federer,roger-federer,f324,1000,2,Semi-Finals,Stan Wawrinka,stan-wawrinka,w367,4,W,46 75 76(6) ,2,1,3,18,17,35,1,0,1,02:48:00,168,4,0,57,108,53,41,57,72,29,51,57,3,6,50,70,108,65,9,47,19,40,76,53,3,9,33,17,17,49,123,119,231,52,10,4,47,123,38,38,47,81,36,76,47,6,9,67,74,123,60,16,57,28,22,51,43,3,6,50,17,17,38,108,112,231,48
2014,Barclays ATP World Tour Finals,barclays-atp-world-tour-finals,605,"London, Great Britain",2014.11.10 - 2014.11.16,8,8,Indoor,Hard,Roger Federer,roger-federer,f324,1000,2,Round Robin,Andy Murray,andy-murray,mc10,6,W,60 61,2,0,2,12,1,13,,,,00:56:00,56,0,1,14,36,39,14,14,100,14,22,64,0,0,0,28,36,78,12,19,63,14,23,61,5,6,83,7,6,26,42,54,78,69,3,4,19,42,45,7,19,37,9,23,39,1,6,17,16,42,38,0,14,0,8,22,36,0,0,0,6,7,8,36,24,78,31
2014,Barclays ATP World Tour Finals,barclays-atp-world-tour-finals,605,"London, Great Britain",2014.11.10 - 2014.11.16,8,8,Indoor,Hard,Roger Federer,roger-federer,f324,1000,2,Round Robin,Kei Nishikori,kei-nishikori,n552,5,W,63 62,2,0,2,12,5,17,,,,01:09:00,69,7,1,34,59,58,27,34,79,14,25,56,3,3,100,41,59,69,9,28,32,13,24,54,3,7,43,9,8,22,52,63,111,57,1,5,28,52,54,19,28,68,11,24,46,4,7,57,30,52,58,7,34,21,11,25,44,0,3,0,8,9,18,59,48,111,43
2014,Barclays ATP World Tour Finals,barclays-atp-world-tour-finals,605,"London, Great Britain",2014.11.10 - 2014.11.16,8,8,Indoor,Hard,Roger Federer,roger-federer,f324,1000,2,Round Robin,Milos Raonic,milos-raonic,r975,8,W,61 76,2,0,2,13,7,20,,,,01:29:00,89,5,2,42,75,56,32,42,76,20,33,61,4,4,100,52,75,69,6,28,21,17,32,53,2,6,33,10,9,23,60,75,135,56,10,2,28,60,47,22,28,79,15,32,47,4,6,67,37,60,62,10,42,24,13,33,39,0,4,0,9,10,23,75,60,135,44
2014,ATP World Tour Masters 1000 Paris,paris,352,"Paris, France",2014.10.27 - 2014.11.02,48,24,Indoor,Hard,Roger Federer,roger-federer,f324,180,2,Quarter-Finals,Milos Raonic,milos-raonic,r975,10,L,67(5) 57,0,2,2,11,14,25,0,1,1,01:33:00,93,8,1,43,69,62,38,43,88,14,26,54,1,2,50,52,69,75,7,47,15,8,23,35,0,1,0,12,12,15,70,67,139,48,21,1,47,70,67,40,47,85,15,23,65,1,1,100,55,70,79,5,43,12,12,26,46,1,2,50,12,12,17,69,72,139,52
2014,ATP World Tour Masters 1000 Paris,paris,352,"Paris, France",2014.10.27 - 2014.11.02,48,24,Indoor,Hard,Roger Federer,roger-federer,f324,180,2,Round of 16,Lucas Pouille,lucas-pouille,pf39,176,W,64 64,2,0,2,12,8,20,,,,01:15:00,75,4,1,29,54,54,27,29,93,15,25,60,0,0,0,42,54,78,10,47,21,20,30,67,2,10,20,10,10,30,77,72,131,55,7,3,47,77,61,37,47,79,10,30,33,8,10,80,47,77,61,2,29,7,10,25,40,0,0,0,10,10,12,54,59,131,45
2014,ATP World Tour Masters 1000 Paris,paris,352,"Paris, France",2014.10.27 - 2014.11.02,48,24,Indoor,Hard,Roger Federer,roger-federer,f324,180,2,Round of 32,Jeremy Chardy,jeremy-chardy,ca12,30,W,76(5) 67(5) 64,2,1,3,19,17,36,1,1,2,02:32:00,152,10,3,72,123,59,55,72,76,27,51,53,7,9,78,82,123,67,18,72,25,24,47,51,3,12,25,17,17,42,119,124,242,51,7,8,72,119,61,54,72,75,23,47,49,9,12,75,77,119,65,17,72,24,24,51,47,2,9,22,17,17,41,123,118,242,49
