tourney_year,tourney_name,tourney_name_slug,tourney_id,tourney_location,tourney_dates,tourney_singles_draw,tourney_doubles_draw,tourney_conditions,tourney_surface,player_name,player_slug,player_id,player_event_points,player_ranking,match_round,opponent_name,opponent_name_slug,opponent_player_id,opponent_rank,match_win_loss,match_score,sets_won,sets_lost,sets_total,games_won,games_lost,games_total,tiebreaks_won,tiebreaks_lost,tiebreaks_total,match_time,match_duration,player_aces,player_double_faults,player_first_serves_in,player_first_serves_total,player_first_serve_percentage,player_first_serve_points_won,player_first_serve_points_total,player_first_serve_points_won_percentage,player_second_serve_points_won,player_second_serve_points_total,player_second_serve_points_won_percentage,player_break_points_saved,player_break_points_serve_total,player_break_points_saved_percentage,player_service_points_won,player_service_points_total,player_service_points_won_percentage,player_first_serve_return_won,player_first_serve_return_total,player_first_serve_return_percentage,player_second_serve_return_won,player_second_serve_return_total,player_second_serve_return_won_percentage,player_break_points_converted,player_break_points_return_total,player_break_points_converted_percentage,player_service_games_played,player_return_games_played,player_return_points_won,player_return_points_total,player_total_points_won,player_total_points_total,player_total_points_won_percentage,opponent_aces,opponent_double_faults,opponent_first_serves_in,opponent_first_serves_total,opponent_first_serve_percentage,opponent_first_serve_points_won,opponent_first_serve_points_total,opponent_first_serve_points_won_percentage,opponent_second_serve_points_won,opponent_second_serve_points_total,opponent_second_serve_points_won_percentage,opponent_break_points_saved,opponent_break_points_serve_total,opponent_break_points_saved_percentage,opponent_service_points_won,opponent_service_points_total,opponent_service_points_won_percentage,opponent_first_serve_return_won,opponent_first_serve_return_total,opponent_first_serve_return_percentage,opponent_second_serve_return_won,opponent_second_serve_return_total,opponent_second_serve_return_won_percentage,opponent_break_points_converted,opponent_break_points_return_total,opponent_break_points_converted_percentage,opponent_service_games_played,opponent_return_games_played,opponent_return_points_won,opponent_return_points_total,opponent_total_points_won,opponent_total_points_total,opponent_total_points_won_percentage
2016,Mercedes Cup,stuttgart,321,"Stuttgart, Germany",2016.06.06 - 2016.06.13,28,16,Outdoor,Grass,Roger Federer,roger-federer,f324,90,3,Semi-Finals,Dominic Thiem,dominic-thiem,tb69,7,L,63 67(7) 46,1,2,3,16,16,32,0,1,1,01:58:00,118,9,2,69,109,63,52,69,75,17,40,43,2,5,40,69,109,63,16,62,26,21,40,53,3,8,38,16,15,37,102,106,211,50,9,6,62,102,61,46,62,74,19,40,48,5,8,63,65,102,64,17,69,25,23,40,58,3,5,60,15,16,40,109,105,211,50
2016,Mercedes Cup,stuttgart,321,"Stuttgart, Germany",2016.06.06 - 2016.06.13,28,16,Outdoor,Grass,Roger Federer,roger-federer,f324,90,3,Quarter-Finals,Florian Mayer,florian-mayer,mb02,226,W,76(2) 76(1) ,2,0,2,14,12,26,2,0,2,01:26:00,86,15,3,49,79,62,43,49,88,15,30,50,5,6,83,58,79,73,18,55,33,12,29,41,1,6,17,12,12,30,84,88,163,54,5,0,55,84,65,37,55,67,17,29,59,5,6,83,54,84,64,6,49,12,15,30,50,1,6,17,12,12,21,79,75,163,46
2016,Mercedes Cup,stuttgart,321,"Stuttgart, Germany",2016.06.06 - 2016.06.13,28,16,Outdoor,Grass,Roger Federer,roger-federer,f324,90,3,Round of 16,Taylor Fritz,taylor-fritz,fb98,65,W,64 57 64,2,1,3,17,15,32,,,,01:41:00,101,8,2,61,95,64,51,61,84,17,34,50,8,9,89,68,95,72,10,52,19,21,43,49,2,4,50,16,16,31,95,99,190,52,9,3,52,95,55,42,52,81,22,43,51,2,4,50,64,95,67,10,61,16,17,34,50,1,9,11,16,16,27,95,91,190,48
2016,Internazionali BNL d'Italia,rome,416,"Rome, Italy",2016.05.09 - 2016.05.15,56,24,Outdoor,Clay,Roger Federer,roger-federer,f324,90,2,Round of 16,Dominic Thiem,dominic-thiem,tb69,15,L,67(2) 46,0,2,2,10,13,23,0,1,1,01:19:00,79,5,1,47,75,63,30,47,64,17,28,61,3,5,60,47,75,63,8,39,21,8,24,33,1,3,33,11,11,16,63,63,138,46,5,2,39,63,62,31,39,79,16,24,67,2,3,67,47,63,75,17,47,36,11,28,39,2,5,40,11,11,28,75,75,138,54
2016,Internazionali BNL d'Italia,rome,416,"Rome, Italy",2016.05.09 - 2016.05.15,56,24,Outdoor,Clay,Roger Federer,roger-federer,f324,90,2,Round of 32,Alexander Zverev,alexander-zverev,z355,44,W,63 75,2,0,2,13,8,21,,,,01:28:00,88,1,0,33,59,56,27,33,82,18,26,69,1,2,50,45,59,76,17,43,40,14,29,48,3,9,33,11,10,31,72,76,131,58,4,2,43,72,60,26,43,60,15,29,52,6,9,67,41,72,57,6,33,18,8,26,31,1,2,50,10,11,14,59,55,131,42
2016,Monte-Carlo Rolex Masters,monte-carlo,410,"Monte Carlo, Monaco",2016.04.11 - 2016.04.17,56,24,Outdoor,Clay,Roger Federer,roger-federer,f324,180,3,Quarter-Finals,Jo-Wilfried Tsonga,jo-wilfried-tsonga,t786,9,L,63 26 57,1,2,3,13,16,29,,,,02:06:00,126,1,4,49,84,58,33,49,67,18,35,51,7,12,58,51,84,61,16,60,27,27,47,57,4,7,57,14,15,43,107,94,191,49,8,4,60,107,56,44,60,73,20,47,43,3,7,43,64,107,60,16,49,33,17,35,49,5,12,42,15,14,33,84,97,191,51
2016,Monte-Carlo Rolex Masters,monte-carlo,410,"Monte Carlo, Monaco",2016.04.11 - 2016.04.17,56,24,Outdoor,Clay,Roger Federer,roger-federer,f324,180,3,Round of 16,Roberto Bautista Agut,roberto-bautista-agut,bd06,17,W,62 64,2,0,2,12,6,18,,,,01:09:00,69,5,2,33,52,63,26,33,79,12,19,63,3,3,100,38,52,73,23,47,49,6,17,35,3,6,50,9,9,29,64,67,116,58,2,2,47,64,73,24,47,51,11,17,65,3,6,50,35,64,55,7,33,21,7,19,37,0,3,0,9,9,14,52,49,116,42
2016,Monte-Carlo Rolex Masters,monte-carlo,410,"Monte Carlo, Monaco",2016.04.11 - 2016.04.17,56,24,Outdoor,Clay,Roger Federer,roger-federer,f324,180,3,Round of 32,Guillermo Garcia-Lopez,guillermo-garcia-lopez,g476,38,W,63 64,2,0,2,12,7,19,,,,01:15:00,75,4,3,34,53,64,25,34,74,12,19,63,2,3,67,37,53,70,9,27,33,17,32,53,3,4,75,10,9,26,59,63,112,56,0,3,27,59,46,18,27,67,15,32,47,1,4,25,33,59,56,9,34,26,7,19,37,1,3,33,9,10,16,53,49,112,44
2016,Australian Open,australian-open,580,"Melbourne, Australia",2016.01.18 - 2016.01.31,128,64,Outdoor,Hard,Roger Federer,roger-federer,f324,720,3,Semi-Finals,Novak Djokovic,novak-djokovic,d643,1,L,16 26 63 36,1,3,4,12,21,33,,,,02:19:00,139,5,1,57,100,57,35,57,61,21,43,49,4,9,44,56,100,56,15,65,23,11,32,34,1,4,25,16,17,26,97,82,197,42,10,1,65,97,67,50,65,77,21,32,66,3,4,75,71,97,73,22,57,39,22,43,51,5,9,56,17,16,44,100,115,197,58
2016,Australian Open,australian-open,580,"Melbourne, Australia",2016.01.18 - 2016.01.31,128,64,Outdoor,Hard,Roger Federer,roger-federer,f324,720,3,Quarter-Finals,Tomas Berdych,tomas-berdych,ba47,6,W,76(4) 62 64,3,0,3,19,12,31,1,0,1,02:16:00,136,10,2,60,87,69,50,60,83,13,27,48,4,6,67,63,87,72,19,59,32,27,52,52,5,10,50,15,15,46,111,109,198,55,9,5,59,111,53,40,59,68,25,52,48,5,10,50,65,111,59,10,60,17,14,27,52,2,6,33,15,15,24,87,89,198,45
2016,Australian Open,australian-open,580,"Melbourne, Australia",2016.01.18 - 2016.01.31,128,64,Outdoor,Hard,Roger Federer,roger-federer,f324,720,3,Round of 16,David Goffin,david-goffin,gb88,16,W,62 61 64,3,0,3,18,7,25,,,,01:29:00,89,7,1,42,67,63,36,42,86,16,25,64,0,1,0,52,67,78,19,55,35,20,28,71,6,13,46,13,12,39,83,91,150,61,5,2,55,83,66,36,55,65,8,28,29,7,13,54,44,83,53,6,42,14,9,25,36,1,1,100,12,13,15,67,59,150,39
2016,Australian Open,australian-open,580,"Melbourne, Australia",2016.01.18 - 2016.01.31,128,64,Outdoor,Hard,Roger Federer,roger-federer,f324,720,3,Round of 32,Grigor Dimitrov,grigor-dimitrov,d875,28,W,64 36 61 64,3,1,4,21,15,36,,,,02:32:00,152,13,5,70,112,63,52,70,74,24,42,57,5,6,83,76,112,68,27,75,36,24,51,47,4,15,27,18,18,51,126,127,238,53,8,3,75,126,60,48,75,64,27,51,53,11,15,73,75,126,60,18,70,26,18,42,43,1,6,17,18,18,36,112,111,238,47
2016,Australian Open,australian-open,580,"Melbourne, Australia",2016.01.18 - 2016.01.31,128,64,Outdoor,Hard,Roger Federer,roger-federer,f324,720,3,Round of 64,Alexandr Dolgopolov,alexandr-dolgopolov,d801,35,W,63 75 61,3,0,3,19,9,28,,,,01:33:00,93,25,1,48,71,68,43,48,90,13,23,57,0,0,0,56,71,79,22,57,39,22,40,55,5,13,38,14,14,44,97,100,168,60,3,7,57,97,59,35,57,61,18,40,45,8,13,62,53,97,55,5,48,10,10,23,43,0,0,0,14,14,15,71,68,168,40
2016,Australian Open,australian-open,580,"Melbourne, Australia",2016.01.18 - 2016.01.31,128,64,Outdoor,Hard,Roger Federer,roger-federer,f324,720,3,Round of 128,Nikoloz Basilashvili,nikoloz-basilashvili,bg23,118,W,62 61 62,3,0,3,18,5,23,,,,01:12:00,72,6,3,36,56,64,33,36,92,9,20,45,0,1,0,42,56,75,21,44,48,17,24,71,8,14,57,11,12,38,68,80,124,65,2,5,44,68,65,23,44,52,7,24,29,6,14,43,30,68,44,3,36,8,11,20,55,1,1,100,12,11,14,56,44,124,35
2016,Brisbane International presented by Suncorp,brisbane,339,"Brisbane, Australia",2016.01.04 - 2016.01.10,28,16,Outdoor,Hard,Roger Federer,roger-federer,f324,150,3,Finals,Milos Raonic,milos-raonic,r975,14,L,46 46,0,2,2,8,12,20,,,,01:27:00,87,7,3,34,61,56,25,34,74,14,27,52,3,5,60,39,61,64,6,34,18,12,26,46,0,1,0,10,10,18,60,57,121,47,6,6,34,60,57,28,34,82,14,26,54,1,1,100,42,60,70,9,34,26,13,27,48,2,5,40,10,10,22,61,64,121,53
2016,Brisbane International presented by Suncorp,brisbane,339,"Brisbane, Australia",2016.01.04 - 2016.01.10,28,16,Outdoor,Hard,Roger Federer,roger-federer,f324,150,3,Semi-Finals,Dominic Thiem,dominic-thiem,tb69,20,W,61 64,2,0,2,12,5,17,,,,01:01:00,61,6,0,27,49,55,23,27,85,12,22,55,0,1,0,35,49,71,13,31,42,15,24,63,4,6,67,9,8,28,55,63,104,61,2,4,31,55,56,18,31,58,9,24,38,2,6,33,27,55,49,4,27,15,10,22,45,1,1,100,8,9,14,49,41,104,39
2016,Brisbane International presented by Suncorp,brisbane,339,"Brisbane, Australia",2016.01.04 - 2016.01.10,28,16,Outdoor,Hard,Roger Federer,roger-federer,f324,150,3,Quarter-Finals,Grigor Dimitrov,grigor-dimitrov,d875,28,W,64 67(4) 64,2,1,3,18,15,33,0,1,1,02:08:00,128,7,1,52,83,63,45,52,87,19,31,61,0,1,0,64,83,77,16,62,26,21,42,50,3,11,27,16,16,37,104,101,187,54,8,2,62,104,60,46,62,74,21,42,50,8,11,73,67,104,64,7,52,13,12,31,39,1,1,100,16,16,19,83,86,187,46
2016,Brisbane International presented by Suncorp,brisbane,339,"Brisbane, Australia",2016.01.04 - 2016.01.10,28,16,Outdoor,Hard,Roger Federer,roger-federer,f324,150,3,Round of 16,Tobias Kamke,tobias-kamke,k839,277,W,62 61,2,0,2,12,3,15,,,,00:55:00,55,2,1,22,40,55,18,22,82,12,18,67,1,1,100,30,40,75,12,27,44,13,19,68,5,6,83,7,8,25,46,55,86,64,2,4,27,46,59,15,27,56,6,19,32,1,6,17,21,46,46,4,22,18,6,18,33,0,1,0,8,7,10,40,31,86,36
