$ time python3 match_scores.py 2000 2009

Scraping match info for 72 tournaments...
Year    Order    Tournament                                Matches
----    -----    ----------                                -------
2000    1        Doha                                      31
2000    2        Chennai                                   31
2000    3        Adelaide                                  31
2000    4        Auckland                                  31
2000    5        Sydney                                    31
2000    6        Australian Open                           127
2000    7        Dubai                                     31
2000    8        Marseille                                 31
2000    9        San Jose                                  31
2000    10       Rotterdam                                 31
2000    11       Memphis                                   47
2000    12       London                                    31
2000    13       Mexico City                               31
2000    14       Santiago                                  31
2000    15       Copenhagen                                31
2000    16       Delray Beach                              31
2000    17       Bogota                                    31
2000    18       Scottsdale                                31
2000    19       ATP Masters 1000 Indian Wells             63
2000    20       ATP Masters 1000 Miami                    95
2000    21       Estoril                                   31
2000    22       Atlanta                                   31
2000    23       Casablanca                                31
2000    24       ATP Masters 1000 Monte Carlo              63
2000    25       Barcelona                                 55
2000    26       Mallorca                                  31
2000    27       Munich                                    31
2000    28       Orlando                                   31
2000    29       ATP Masters 1000 Rome                     63
2000    30       ATP Masters 1000 Hamburg                  63
2000    31       World Team Cup                            26
2000    32       St. Poelten                               31
2000    33       Roland Garros                             127
2000    34       Halle                                     31
2000    35       London / Queen's Club                     55
2000    36       's-Hertogenbosch                          31
2000    37       Nottingham                                31
2000    38       Wimbledon                                 127
2000    39       Gstaad                                    31
2000    40       Bastad                                    31
2000    41       Newport                                   31
2000    42       Stuttgart Outdoor                         31
2000    43       Amsterdam                                 31
2000    44       Umag                                      31
2000    45       Kitzbuhel                                 47
2000    46       Los Angeles                               31
2000    47       San Marino                                31
2000    48       ATP Masters 1000 Canada                   63
2000    49       ATP Masters 1000 Cincinnati               63
2000    50       Indianapolis                              55
2000    51       Washington                                55
2000    52       Long Island                               47
2000    53       US Open                                   127
2000    54       Tashkent                                  31
2000    55       Bucharest                                 31
2000    56       Sydney Olympics                           64
2000    57       Palermo                                   31
2000    58       Hong Kong                                 31
2000    59       Tokyo                                     55
2000    60       Vienna                                    31
2000    61       Toulouse                                  31
2000    62       Shanghai                                  31
2000    63       Basel                                     31
2000    64       Moscow                                    31
2000    65       ATP Masters 1000 Stuttgart                47
2000    66       Lyon                                      31
2000    67       St. Petersburg                            31
2000    68       ATP Masters 1000 Paris                    47
2000    69       Stockholm                                 31
2000    70       Brighton                                  31
2000    71       Tennis Masters Cup                        15
2000    72       Doubles Championship                      0

Scraping match info for 71 tournaments...
Year    Order    Tournament                                Matches
----    -----    ----------                                -------
2001    1        Doha                                      31
2001    2        Chennai                                   31
2001    3        Adelaide                                  31
2001    4        Sydney                                    31
2001    5        Auckland                                  31
2001    6        Australian Open                           127
2001    7        Bogota                                    31
2001    8        Milan                                     31
2001    9        Marseille                                 31
2001    10       Vina del Mar                              31
2001    11       Copenhagen                                31
2001    12       Rotterdam                                 31
2001    13       Memphis                                   47
2001    14       Buenos Aires                              31
2001    15       Dubai                                     31
2001    16       Acapulco                                  31
2001    17       San Jose                                  31
2001    18       Scottsdale                                31
2001    19       Delray Beach                              31
2001    20       ATP Masters 1000 Indian Wells             63
2001    21       ATP Masters 1000 Miami                    95
2001    22       Estoril                                   31
2001    23       Casablanca                                31
2001    24       ATP Masters 1000 Monte Carlo              63
2001    25       Barcelona                                 55
2001    26       Atlanta                                   31
2001    27       Mallorca                                  31
2001    28       Munich                                    31
2001    29       Houston                                   31
2001    30       ATP Masters 1000 Rome                     63
2001    31       ATP Masters 1000 Hamburg                  63
2001    32       World Team Cup                            26
2001    33       St. Poelten                               31
2001    34       Roland Garros                             127
2001    35       Halle                                     31
2001    36       London / Queen's Club                     55
2001    37       Nottingham                                31
2001    38       's-Hertogenbosch                          31
2001    39       Wimbledon                                 127
2001    40       Gstaad                                    31
2001    41       Bastad                                    31
2001    42       Newport                                   31
2001    43       Stuttgart                                 47
