$ time python3 match_scores.py 1990 1999

Scraping match info for 82 tournaments...
Year    Order    Tournament                                Matches
----    -----    ----------                                -------
1990    1        Adelaide                                  31
1990    2        Wellington                                31
1990    3        Sydney Outdoor                            31
1990    4        Auckland                                  31
1990    5        Australian Open                           127
1990    6        Milan                                     31
1990    7        San Francisco                             31
1990    8        Guaruja                                   31
1990    9        Toronto Indoor                            55
1990    10       Brussels                                  31
1990    11       Philadelphia                              47
1990    12       Stuttgart Indoor                          31
1990    13       Rotterdam                                 31
1990    14       Memphis                                   47
1990    15       ATP Masters 1000 Indian Wells             55
1990    16       Casablanca                                31
1990    17       ATP Masters 1000 Miami                    95
1990    18       Estoril                                   31
1990    19       Orlando                                   31
1990    20       Rio De Janeiro                            31
1990    21       Tokyo Outdoor                             55
1990    22       Barcelona                                 55
1990    23       Nice                                      31
1990    24       Seoul                                     31
1990    25       ATP Masters 1000 Monte Carlo              55
1990    26       Hong Kong                                 31
1990    27       Madrid                                    31
1990    28       Munich                                    31
1990    29       Singapore                                 31
1990    30       ATP Masters 1000 Hamburg                  55
1990    31       Kiawah Island                             31
1990    32       ATP Masters 1000 Rome                     63
1990    33       Umag                                      31
1990    34       World Team Cup                            26
1990    35       Bologna                                   31
1990    36       Roland Garros                             127
1990    37       London / Queen's Club                     55
1990    38       Florence                                  31
1990    39       Rosmalen                                  31
1990    40       Genova                                    31
1990    41       Manchester                                31
1990    42       Wimbledon                                 127
1990    43       Gstaad                                    31
1990    44       Bastad                                    31
1990    45       Newport                                   31
1990    46       Stuttgart Outdoor                         47
1990    47       Washington                                55
1990    48       ATP Masters 1000 Canada                   55
1990    49       Hilversum                                 31
1990    50       Kitzbuhel                                 47
1990    51       Los Angeles                               31
1990    52       San Remo                                  31
1990    53       ATP Masters 1000 Cincinnati               55
1990    54       Prague                                    31
1990    55       Indianapolis                              55
1990    56       New Haven                                 55
1990    57       Long Island                               27
1990    58       San Marino                                31
1990    59       Schenectady                               27
1990    60       US Open                                   127
1990    61       Bordeaux                                  31
1990    62       Geneva                                    31
1990    63       Basel                                     31
1990    64       Palermo                                   31
1990    65       Brisbane                                  31
1990    66       Sydney Indoor                             47
1990    67       Toulouse                                  31
1990    68       Athens                                    31
1990    69       Tokyo Indoor                              47
1990    70       Berlin                                    31
1990    71       Tel Aviv                                  31
1990    72       Lyon                                      31
