$ time python3 match_scores.py 1970 1979

Scraping match info for 69 tournaments...
Year    Order    Tournament                                Matches
----    -----    ----------                                -------
1970    1        Australian Open                           47
1970    2        Philadelphia                              47
1970    3        Miami WCT                                 6
1970    4        Richmond                                  7
1970    5        Salisbury                                 45
1970    6        Corpus Christi WCT                        7
1970    7        Macon                                     24
1970    8        Los Angeles WCT                           5
1970    9        Hampton                                   31
1970    10       London Indoor                             15
1970    11       WCT Aetna World Cup                       5
1970    12       Sydney                                    25
1970    13       Johannesburg                              48
1970    14       Johannesburg                              48
1970    15       San Juan                                  42
1970    16       Durban                                    42
1970    17       St. Petersburg                            29
1970    18       Monte Carlo                               63
1970    19       Charlotte                                 26
1970    20       Rome                                      31
1970    21       Dallas WCT                                16
1970    22       Houston                                   31
1970    23       Bournemouth                               31
1970    24       Atlanta WCT                               15
1970    25       Brussels                                  30
1970    26       Las Vegas WCT                             15
1970    27       Roland Garros                             127
1970    28       St. Louis WCT                             19
1970    29       Manchester                                7
1970    30       Casablanca WCT                            14
1970    31       Bristol                                   29
1970    32       Nottingham                                0
1970    33       London / Queen's Club                     63
1970    34       Eastbourne                                28
1970    35       Wimbledon                                 127
1970    36       Nottingham                                47
1970    37       Newport                                   48
1970    38       Bastad                                    31
1970    39       Dublin                                    30
1970    40       Washington                                63
1970    41       Gstaad                                    31
1970    42       Hoylake                                   43
1970    43       Leicester                                 15
1970    44       Cincinnati                                63
1970    45       Indianapolis                              63
1970    46       Louisville                                15
1970    47       Hilversum                                 54
1970    48       Boston                                    31
1970    49       Munich                                    27
1970    50       Montreal / Toronto                        19
1970    51       Hamburg                                   54
1970    52       Merion                                    63
1970    53       Kitzbuhel                                 53
1970    54       Fort Worth WCT                            9
1970    55       South Orange                              41
1970    56       US Open                                   107
1970    57       Los Angeles                               63
1970    58       Berkeley                                  63
1970    59       Vancouver WCT                             15
1970    60       Midland WCT                               7
1970    61       Phoenix                                   30
1970    62       Tucson WCT                                11
1970    63       Barcelona                                 36
1970    64       Buenos Aires                              31
1970    65       Paris Indoor                              31
1970    66       Wembley                                   31
1970    67       Stockholm Open                            31
1970    68       Masters                                   15
1970    69       Masters Doubles                           0

Tournaments with missing match info...
Year    Order    Tournament
----    -----    ----------
Munich
1971    1        Munich

Scraping match info for 81 tournaments...
Year    Order    Tournament                                Matches
----    -----    ----------                                -------
1971    2        Sydney Outdoor                            25
1971    3        Melbourne                                 60
1971    4        Omaha                                     15
1971    5        Richmond                                  15
1971    6        New York                                  31
1971    7        Philadelphia WCT                          31
1971    8        Salisbury                                 47
1971    9        Macon                                     41
1971    10       London Indoor                             19
1971    11       Hampton                                   31
1971    12       Auckland                                  31
1971    13       Australian Open                           47
