$ time python3 match_scores.py 2010 2019

Scraping match info for 66 tournaments...
Year    Order    Tournament                                Matches
----    -----    ----------                                -------
2010    1        Brisbane                                  53
2010    2        Doha                                      59
2010    3        Chennai                                   59
2010    4        Sydney                                    55
2010    5        Auckland                                  45
2010    6        Australian Open                           239
2010    7        Johannesburg                              51
2010    8        Santiago                                  59
2010    9        Zagreb                                    59
2010    10       Rotterdam                                 43
2010    11       San Jose                                  57
2010    12       Costa do Sauipe                           59
2010    13       Memphis                                   43
2010    14       Marseille                                 55
2010    15       Buenos Aires                              59
2010    16       Dubai                                     43
2010    17       Acapulco                                  43
2010    18       Delray Beach                              59
2010    19       ATP Masters 1000 Indian Wells             131
2010    20       ATP Masters 1000 Miami                    131
2010    21       Houston                                   51
2010    22       Casablanca                                55
2010    23       ATP Masters 1000 Monte Carlo              76
2010    24       Barcelona                                 76
2010    25       ATP Masters 1000 Rome                     76
2010    26       Munich                                    55
2010    27       Estoril                                   54
2010    28       Belgrade                                  41
2010    29       ATP Masters 1000 Madrid                   76
2010    30       World Team Championship                   26
2010    31       Nice                                      40
2010    32       Roland Garros                             239
2010    33       Halle                                     59
2010    34       London / Queen's Club                     79
2010    35       Eastbourne                                59
2010    36       s-Hertogenbosch                           49
2010    37       Wimbledon                                 239
2010    38       Newport                                   59
2010    39       Bastad                                    53
2010    40       Stuttgart                                 55
2010    41       Hamburg                                   65
2010    42       Atlanta                                   49
2010    43       Gstaad                                    49
2010    44       Los Angeles                               55
2010    45       Umag                                      55
2010    46       Washington                                65
2010    47       ATP Masters 1000 Canada                   76
2010    48       ATP Masters 1000 Cincinnati               76
2010    49       New Haven                                 75
2010    50       US Open                                   239
2010    51       Metz                                      48
2010    52       Bucharest                                 55
2010    53       Kuala Lumpur                              40
2010    54       Bangkok                                   55
2010    55       Beijing                                   43
2010    56       Tokyo                                     43
2010    57       ATP Masters 1000 Shanghai                 76
2010    58       Moscow                                    55
2010    59       Stockholm                                 55
2010    60       St. Petersburg                            59
2010    61       Montpellier                               55
2010    62       Vienna                                    55
2010    63       Valencia                                  43
2010    64       Basel                                     43
2010    65       ATP Masters 1000 Paris                    65
2010    66       ATP Finals                                15

Scraping match info for 66 tournaments...
Year    Order    Tournament                                Matches
----    -----    ----------                                -------
2011    1        Brisbane                                  59
2011    2        Doha                                      57
2011    3        Chennai                                   59
2011    4        Sydney                                    55
2011    5        Auckland                                  55
2011    6        Australian Open                           239
2011    7        Johannesburg                              45
2011    8        Santiago                                  59
2011    9        Zagreb                                    55
2011    10       Rotterdam                                 43
2011    11       San Jose                                  49
