$ time python3 match_scores.py 1980 1989

Scraping match info for 104 tournaments...
Year    Order    Tournament                                Matches
----    -----    ----------                                -------
1980    1        Hobart                                    31
1980    2        Auckland                                  31
1980    3        Masters Doubles WCT                       0
1980    4        Birmingham WCT                            31
1980    5        Baltimore                                 31
1980    6        Philadelphia WCT                          47
1980    7        Richmond WCT                              31
1980    8        San Juan                                  31
1980    9        Pepsi Grand Slam                          3
1980    10       Rancho Mirage                             60
1980    11       Sarasota                                  31
1980    12       Denver                                    31
1980    13       Salisbury WCT                             16
1980    14       Memphis                                   47
1980    15       Lagos                                     31
1980    16       Washington Indoor                         0
1980    17       Washington Indoor                         31
1980    18       Cairo                                     31
1980    19       Rotterdam WCT                             31
1980    20       San Jose Costa Rica                       31
1980    21       Stuttgart Indoor                          31
1980    22       Frankfurt WCT                             31
1980    23       Metz                                      31
1980    24       Milan WCT                                 31
1980    25       Dayton                                    31
1980    26       Nice                                      31
1980    27       Monte Carlo WCT                           31
1980    28       New Orleans                               31
1980    29       Tampa                                     31
1980    30       Houston WCT                               31
1980    31       Tulsa                                     31
1980    32       Johannesburg                              31
1980    33       Johannesburg                              31
1980    34       Los Angeles                               47
1980    35       Las Vegas                                 31
1980    36       Dallas WCT                                7
1980    37       Sao Paulo                                 31
1980    38       Forest Hills WCT                          27
1980    39       Nations Cup                               30
1980    40       Hamburg                                   63
1980    41       Florence                                  31
1980    42       Rome                                      63
1980    43       Munich                                    31
1980    44       Roland Garros                             127
1980    45       London / Queen's Club                     63
1980    46       Brussels                                  31
1980    47       Surbiton                                  31
1980    48       Vienna Outdoor                            31
1980    49       Wimbledon                                 127
1980    50       Gstaad                                    31
1980    51       Newport                                   31
1980    52       Boston                                    63
1980    53       Bastad                                    31
1980    54       Stuttgart Outdoor                         31
1980    55       Washington                                63
1980    56       Hilversum                                 31
1980    57       Kitzbuhel                                 31
1980    58       North Conway                              63
1980    59       South Orange                              31
1980    60       Indianapolis                              63
1980    61       Columbus                                  31
1980    62       Montreal / Toronto                        63
1980    63       Cleveland                                 31
1980    64       Stowe                                     31
1980    65       Cincinnati                                63
1980    66       Atlanta                                   31
1980    67       US Open                                   127
1980    68       Sawgrass Doubles                          0
1980    69       Palermo                                   31
1980    70       Bournemouth                               31
1980    71       San Francisco                             47
1980    72       Bordeaux                                  31
1980    73       Geneva                                    31
1980    74       Madrid                                    47
1980    75       Maui                                      31
1980    76       Barcelona                                 63
1980    77       Brisbane                                  31
1980    78       Tel Aviv                                  31
1980    79       Sydney Indoor                             31
1980    80       Basel                                     31
1980    81       Republic Of China                         31
1980    82       Melbourne Indoor                          31
1980    83       Tokyo Outdoor                             63
1980    84       Vienna                                    47
1980    85       Tokyo Indoor                              31
1980    86       Cologne                                   31
1980    87       Paris Indoor                              31
1980    88       Hong Kong                                 31
1980    89       Quito                                     31
1980    90       Stockholm                                 31
1980    91       Wembley                                   31
1980    92       Taipei                                    31
1980    93       Bogota                                    31
1980    94       Buenos Aires                              31
1980    95       Bangkok                                   31
1980    96       Bologna                                   31
1980    97       Santiago                                  31
1980    98       Johannesburg                              31
1980    99       WCT Challenge Cup                         15
1980    100      Sydney Outdoor                            63
1980    101      Sofia                                     31
1980    102      Australian Open                           63
1980    103      Masters                                   15
1980    104      Masters Doubles                           0

Scraping match info for 99 tournaments...
Year    Order    Tournament                                Matches
----    -----    ----------                                -------
1981    1        Adelaide                                  31
1981    2        Auckland                                  31
1981    3        Masters Doubles WCT                       0
1981    4        Monterrey WCT                             31
1981    5        Guaruja                                   31
1981    6        San Juan                                  31
1981    7        Philadelphia WCT                          47
1981    8        Vina Del Mar                              31
1981    9        Richmond WCT                              31
1981    10       Mar Del Plata                             31
1981    11       Pepsi Grand Slam                          3
1981    12       La Quinta                                 63
1981    13       Memphis                                   47
1981    14       Mexico City                               31
1981    15       Salisbury WCT                             0
1981    16       Denver                                    31
1981    17       Brussels WCT                              31
1981    18       Cairo                                     31
1981    19       Tampa                                     31
1981    20       Rotterdam WCT                             31
1981    21       Nancy                                     31
1981    22       Milan WCT                                 31
1981    23       Stuttgart Indoor                          31
1981    24       Napa                                      31
1981    25       Frankfurt WCT                             31
1981    26       Linz                                      31
1981    27       Houston WCT                               31
1981    28       Johannesburg                              31
1981    29       Johannesburg                              31
1981    30       Nice                                      31
1981    31       Monte Carlo                               30
1981    32       Los Angeles                               31
1981    33       Las Vegas                                 31
1981    34       Bournemouth                               31
1981    35       Dallas WCT                                7
1981    36       Forest Hills WCT                          42
1981    37       Nations Cup                               30
1981    38       Hamburg                                   63
1981    39       Florence                                  31
1981    40       Rome                                      63
1981    41       Munich                                    31
