0,/en/tournaments/next-generation-adelaide-international/7308/2001/match-stats/S331/G379/live/MS020/match-stats,01:14:00,74,3,3,26,59,21,26,17,33,2,3,38,59,9,35,22,30,4,12,9,8,31,65,69,124,0,3,35,65,26,35,8,30,8,12,34,65,5,26,16,33,1,3,8,9,21,59,55,124
0,/en/tournaments/next-generation-adelaide-international/7308/2001/match-stats/H355/S765/live/MS019/match-stats,01:04:00,64,2,1,30,48,25,30,12,18,1,1,37,48,12,27,10,23,3,6,9,9,22,50,59,98,3,5,27,50,15,27,13,23,3,6,28,50,5,30,6,18,0,1,9,9,11,48,39,98
0,/en/tournaments/next-generation-adelaide-international/7308/2001/match-stats/P280/G354/live/MS024/match-stats,00:50:00,50,6,0,26,38,23,26,9,12,0,0,32,38,9,29,9,13,4,5,8,8,18,42,50,80,4,2,29,42,20,29,4,13,1,5,24,42,3,26,3,12,0,0,8,8,6,38,30,80
0,/en/tournaments/next-generation-adelaide-international/7308/2001/match-stats/J129/M535/live/MS028/match-stats,01:29:00,89,7,3,30,62,25,30,18,32,6,7,43,62,11,36,17,28,3,3,10,10,28,64,71,126,2,5,36,64,25,36,11,28,0,3,36,64,5,30,14,32,1,7,10,10,19,62,55,126
0,/en/tournaments/next-generation-adelaide-international/7308/2001/match-stats/R336/I052/live/MS023/match-stats,01:55:00,115,2,4,52,95,31,52,22,43,6,12,53,95,11,50,39,63,5,16,15,16,50,113,103,208,11,9,50,113,39,50,24,63,11,16,63,113,21,52,21,43,6,12,16,15,42,95,105,208
0,/en/tournaments/next-generation-adelaide-international/7308/2001/match-stats/G333/J233/live/MS021/match-stats,01:06:00,66,0,1,30,49,23,30,12,19,1,2,35,49,12,26,10,21,4,4,9,9,22,47,57,96,1,3,26,47,14,26,11,21,0,4,25,47,7,30,7,19,1,2,9,9,14,49,39,96
0,/en/tournaments/next-generation-adelaide-international/7308/2001/match-stats/L360/S545/live/MS025/match-stats,01:06:00,66,9,2,25,55,22,25,19,30,0,0,41,55,9,32,9,17,3,4,10,10,18,49,59,104,2,1,32,49,23,32,8,17,1,4,31,49,3,25,11,30,0,0,10,10,14,55,45,104
0,/en/tournaments/next-generation-adelaide-international/7308/2001/match-stats/M680/W212/live/MS018/match-stats,01:36:00,96,5,2,41,79,27,41,23,38,9,12,50,79,13,43,15,27,4,8,13,12,28,70,78,149,5,6,43,70,30,43,12,27,4,8,42,70,14,41,15,38,3,12,12,13,29,79,71,149
0,/en/tournaments/next-generation-adelaide-international/7308/2001/match-stats/M590/P272/live/MS022/match-stats,00:56:00,56,3,2,26,42,23,26,7,16,0,1,30,42,12,30,17,27,5,6,8,9,29,57,59,99,0,4,30,57,18,30,10,27,1,6,28,57,3,26,9,16,1,1,9,8,12,42,40,99
0,/en/tournaments/next-generation-adelaide-international/7308/2001/match-stats/M655/S693/live/MS026/match-stats,01:23:00,83,6,1,36,60,24,36,11,24,5,7,35,60,18,44,18,27,5,17,9,9,36,71,71,131,5,4,44,71,26,44,9,27,12,17,35,71,12,36,13,24,2,7,9,9,25,60,60,131
0,/en/tournaments/next-generation-adelaide-international/7308/2001/match-stats/P436/W136/live/MS017/match-stats,01:21:00,81,5,5,34,69,24,34,22,35,7,7,46,69,14,35,15,31,4,4,9,10,29,66,75,135,1,3,35,66,21,35,16,31,0,4,37,66,10,34,13,35,0,7,10,9,23,69,60,135
0,/en/tournaments/next-generation-adelaide-international/7308/2001/match-stats/V175/P395/live/MS029/match-stats,01:40:00,100,2,2,62,92,41,62,16,30,6,7,57,92,13,43,18,37,2,10,11,11,31,80,88,172,3,3,43,80,30,43,19,37,8,10,49,80,21,62,14,30,1,7,11,11,35,92,84,172
0,/en/tournaments/next-generation-adelaide-international/7308/2001/match-stats/T136/K257/live/MS030/match-stats,01:14:00,74,2,1,50,69,38,50,11,19,5,6,49,69,23,58,7,15,2,5,11,10,30,73,79,142,5,1,58,73,35,58,8,15,3,5,43,73,12,50,8,19,1,6,10,11,20,69,63,142
1,/en/tournaments/aircel-chennai-open/891/2001/match-stats/T243/S688/live/MS001/match-stats,01:24:00,84,10,3,37,71,27,37,20,34,4,5,47,71,10,34,15,28,3,3,10,10,25,62,72,133,1,1,34,62,24,34,13,28,0,3,37,62,10,37,14,34,1,5,10,10,24,71,61,133
