2003-451-MS001-5-1-k310-g352,doha,/en/scores/2003/451/MS001/match-stats?isLive=False,01:23:00,83,k310,316,5,2,31,52,24,31,16,21,0,0,10,197,9,38,9,17,2,2,10,40,52,18,55,58,107,g352,280,10,2,38,55,29,38,8,17,0,2,10,47,7,31,5,21,0,0,10,37,55,12,52,49,107
2003-451-MS003-4-2-k310-e121,doha,/en/scores/2003/451/MS003/match-stats?isLive=False,01:42:00,102,k310,317,7,0,51,77,38,51,18,26,2,2,12,65,15,55,10,26,0,2,12,56,77,25,81,81,158,e121,307,5,1,55,81,40,55,16,26,2,2,12,56,13,51,8,26,0,2,12,56,81,21,77,77,158
2003-451-MS002-4-1-g352-y061,doha,/en/scores/2003/451/MS002/match-stats?isLive=False,01:22:00,82,g352,265,7,5,29,62,25,29,14,33,5,6,9,194,14,40,12,17,4,9,9,39,62,26,57,65,119,y061,216,1,4,40,57,26,40,5,17,5,9,9,100,4,29,19,33,1,6,9,31,57,23,62,54,119
2003-451-MS004-3-4-g352-f324,doha,/en/scores/2003/451/MS004/match-stats?isLive=False,01:34:00,94,g352,284,4,3,43,69,33,43,14,26,5,6,11,147,15,44,18,34,3,9,11,47,69,33,78,80,147,f324,239,2,4,44,78,29,44,16,34,6,9,11,95,10,43,12,26,1,6,11,45,78,22,69,67,147
2003-451-MS006-3-3-e121-s424,doha,/en/scores/2003/451/MS006/match-stats?isLive=False,02:03:00,123,e121,246,7,1,54,82,37,54,10,28,7,11,13,177,26,58,19,38,6,15,14,47,82,45,96,92,178,s424,219,0,3,58,96,32,58,19,38,9,15,14,161,17,54,18,28,4,11,13,51,96,35,82,86,178
2003-451-MS005-3-2-y061-v195,doha,/en/scores/2003/451/MS005/match-stats?isLive=False,01:49:00,109,y061,296,2,1,47,77,35,47,18,30,2,2,11,99,12,40,11,28,1,5,10,53,77,23,68,76,145,v195,284,5,1,40,68,28,40,17,28,4,5,10,66,12,47,12,30,0,2,11,45,68,24,77,69,145
2003-451-MS007-3-1-k310-v250,doha,/en/scores/2003/451/MS007/match-stats?isLive=False,01:06:00,66,k310,310,6,0,26,56,21,26,23,30,2,2,10,182,14,40,11,19,2,3,9,44,56,25,59,69,115,v250,254,3,1,40,59,26,40,8,19,1,3,9,42,5,26,7,30,0,2,10,34,59,12,56,46,115
2003-451-MS008-2-8-f324-k319,doha,/en/scores/2003/451/MS008/match-stats?isLive=False,01:08:00,68,f324,288,9,2,36,60,29,36,12,24,3,4,10,150,8,34,14,24,3,8,10,41,60,22,58,63,118,k319,241,0,6,34,58,26,34,10,24,5,8,10,104,7,36,12,24,1,4,10,36,58,19,60,55,118
2003-451-MS015-2-7-v250-c378,doha,/en/scores/2003/451/MS015/match-stats?isLive=False,02:11:00,131,v250,307,10,2,57,93,48,57,22,36,5,6,16,88,14,68,10,27,1,4,17,70,93,24,95,94,188,c378,313,7,2,68,95,54,68,17,27,3,4,17,78,9,57,14,36,1,6,16,71,95,23,93,94,188
2003-451-MS013-2-6-e121-a226,doha,/en/scores/2003/451/MS013/match-stats?isLive=False,01:07:00,67,e121,279,8,1,49,70,38,49,9,21,4,6,11,171,15,43,16,27,3,6,11,47,70,31,70,78,140,a226,243,6,2,43,70,28,43,11,27,3,6,11,130,11,49,12,21,2,6,11,39,70,23,70,62,140
2003-451-MS011-2-5-y061-s694,doha,/en/scores/2003/451/MS011/match-stats?isLive=False,01:01:00,61,y061,323,0,3,27,40,24,27,9,13,0,0,8,199,11,29,15,28,4,7,8,33,40,26,57,59,97,s694,213,4,0,29,57,18,29,13,28,3,7,8,42,3,27,4,13,0,0,8,31,57,7,40,38,97
2003-451-MS012-2-4-s424-r336,doha,/en/scores/2003/451/MS012/match-stats?isLive=False,03:04:00,184,s424,219,8,4,84,142,49,84,25,58,14,22,18,207,61,111,15,32,10,20,18,74,142,76,143,150,285,r336,218,0,2,111,143,50,111,17,32,10,20,18,179,35,84,33,58,8,22,18,67,143,68,142,135,285
2003-451-MS009-2-3-g352-f401,doha,/en/scores/2003/451/MS009/match-stats?isLive=False,02:09:00,129,g352,288,14,3,50,70,40,50,9,20,5,7,11,127,10,36,14,33,3,10,11,49,70,24,69,73,139,f401,253,0,1,36,69,26,36,19,33,7,10,11,122,10,50,11,20,2,7,11,45,69,21,70,66,139
2003-451-MS014-2-2-k310-v211,doha,/en/scores/2003/451/MS014/match-stats?isLive=False,01:06:00,66,k310,301,0,1,27,42,21,27,9,15,1,1,7,268,14,26,8,10,5,8,7,30,42,22,36,52,78,v211,165,1,2,26,36,12,26,2,10,3,8,7,62,6,27,6,15,0,1,7,14,36,12,42,26,78
2003-451-MS010-2-1-v195-h366,doha,/en/scores/2003/451/MS010/match-stats?isLive=False,02:04:00,124,v195,274,3,3,44,78,31,44,22,34,5,7,12,146,27,63,9,26,3,7,12,53,78,36,89,89,167,h366,271,4,1,63,89,36,63,17,26,4,7,12,110,13,44,12,34,2,7,12,53,89,25,78,78,167
2003-451-MS016-1-16-f324-s688,doha,/en/scores/2003/451/MS016/match-stats?isLive=False,01:56:00,116,f324,302,16,5,65,107,52,65,21,42,4,4,15,129,19,58,16,42,3,8,15,73,107,35,100,108,207,s688,266,1,2,58,100,39,58,26,42,5,8,15,70,13,65,21,42,0,4,15,65,100,34,107,99,207
2003-451-MS031-1-15-c378-g254,doha,/en/scores/2003/451/MS031/match-stats?isLive=False,01:30:00,90,c378,304,11,2,38,68,30,38,18,30,7,7,10,149,8,27,14,30,2,4,9,48,68,22,57,70,125,g254,243,2,6,27,57,19,27,16,30,2,4,9,61,8,38,12,30,0,7,10,35,57,20,68,55,125
2003-451-MS027-1-14-e121-b599,doha,/en/scores/2003/451/MS027/match-stats?isLive=False,01:19:00,79,e121,311,6,3,39,56,33,39,9,17,2,2,10,121,11,42,16,29,2,10,10,42,56,27,71,69,127,b599,267,12,3,42,71,31,42,13,29,8,10,10,62,6,39,8,17,0,2,10,44,71,14,56,58,127
2003-451-MS020-1-13-v195-k267,doha,/en/scores/2003/451/MS020/match-stats?isLive=False,01:38:00,98,v195,261,2,6,48,79,36,48,12,31,6,7,10,170,6,23,22,41,4,8,10,48,79,28,64,76,143,k267,213,1,4,23,64,17,23,19,41,4,8,10,110,12,48,19,31,1,7,10,36,64,31,79,67,143
2003-451-MS023-1-12-y061-s677,doha,/en/scores/2003/451/MS023/match-stats?isLive=False,02:46:00,166,y061,237,0,2,72,130,46,72,27,58,12,16,15,164,17,46,21,43,5,11,15,73,130,38,89,111,219,s677,233,1,0,46,89,29,46,22,43,6,11,15,140,26,72,31,58,4,16,15,51,89,57,130,108,219
