2021-7485-qs005-2-3-n0ae-h996,antwerp,/en/scores/stats-centre/archive/2021/7485/qs005,n0ae,7,10,15,10,201,124,188,116,165,102,h996,16,24,17,26,208,129,190,118,165,102
2021-7485-qs006-2-2-l949-cf59,antwerp,/en/scores/stats-centre/archive/2021/7485/qs006,l949,10,12,27,26,210,130,213,132,144,89,cf59,11,19,10,19,203,126,187,116,156,96
2021-7485-qs007-2-1-db59-sa93,antwerp,/en/scores/stats-centre/archive/2021/7485/qs007,db59,14,20,37,39,199,123,182,113,148,91,sa93,19,26,37,27,197,122,179,111,145,90
2021-7485-qs008-1-8-b0cd-gg65,antwerp,/en/scores/stats-centre/archive/2021/7485/qs008,b0cd,9,12,16,9,188,116,182,113,144,89,gg65,9,14,17,27,216,134,195,121,154,95
2021-7485-qs010-1-7-n0ae-v306,antwerp,/en/scores/stats-centre/archive/2021/7485/qs010,n0ae,9,14,22,17,202,125,186,115,160,99,v306,1,2,20,24,206,128,179,111,148,91
2021-7485-qs012-1-6-cf59-bi23,antwerp,/en/scores/stats-centre/archive/2021/7485/qs012,cf59,11,16,23,22,199,123,188,116,155,96,bi23,23,34,23,33,195,121,176,109,152,94
2021-7485-qs014-1-5-sa93-o0a2,antwerp,/en/scores/stats-centre/archive/2021/7485/qs014,sa93,16,18,18,32,192,119,180,111,147,91,o0a2,6,14,14,23,185,114,176,109,146,90
2021-7485-qs013-1-4-l949-h997,antwerp,/en/scores/stats-centre/archive/2021/7485/qs013,l949,6,9,21,19,205,127,201,124,148,91,h997,16,21,20,15,210,130,191,118,159,98
2021-7485-qs011-1-3-h996-r0dg,antwerp,/en/scores/stats-centre/archive/2021/7485/qs011,h996,18,24,17,11,210,130,189,117,168,104,r0dg,5,11,9,10,208,129,185,114,165,102
2021-7485-qs015-1-2-db59-kc04,antwerp,/en/scores/stats-centre/archive/2021/7485/qs015,db59,9,11,16,2,195,121,183,113,148,91,kc04,5,11,8,14,186,115,178,110,158,98
2021-7485-qs009-1-1-gb93-z419,antwerp,/en/scores/stats-centre/archive/2021/7485/qs009,gb93,0,1,10,13,210,130,193,119,164,101,z419,2,3,5,15,188,116,172,106,145,90
2021-337-ms001-7-1-z355-td51,vienna,/en/scores/stats-centre/archive/2021/337/ms001,z355,10,20,37,11,227,141,213,132,159,98,td51,10,18,20,13,223,138,196,121,151,93
2021-337-ms003-6-2-z355-a0e2,vienna,/en/scores/stats-centre/archive/2021/337/ms003,z355,3,5,20,8,226,140,211,131,163,101,a0e2,3,5,9,16,216,134,197,122,156,96
2021-337-ms002-6-1-td51-s0ag,vienna,/en/scores/stats-centre/archive/2021/337/ms002,td51,23,38,24,16,227,141,196,121,159,98,s0ag,11,20,29,21,205,127,193,119,154,95
2021-337-ms007-5-4-z355-ag37,vienna,/en/scores/stats-centre/archive/2021/337/ms007,z355,12,15,21,12,226,140,212,131,161,100,ag37,14,22,26,26,219,136,205,127,176,109
2021-337-ms006-5-3-a0e2-bk40,vienna,/en/scores/stats-centre/archive/2021/337/ms006,a0e2,16,24,24,21,218,135,197,122,158,98,bk40,19,25,29,30,227,141,210,130,174,108
2021-337-ms005-5-2-s0ag-rh16,vienna,/en/scores/stats-centre/archive/2021/337/ms005,s0ag,12,14,25,19,205,127,194,120,145,90,rh16,5,8,10,17,212,131,197,122,160,99
2021-337-ms004-5-1-td51-sm37,vienna,/en/scores/stats-centre/archive/2021/337/ms004,td51,21,32,34,25,227,141,204,126,151,93,sm37,12,20,12,14,190,118,168,104,143,88
2021-337-ms008-4-8-td51-te51,vienna,/en/scores/stats-centre/archive/2021/337/ms008,td51,17,27,25,17,223,138,205,127,157,97,te51,19,25,26,18,212,131,200,124,166,103
2021-337-ms015-4-7-z355-dh58,vienna,/en/scores/stats-centre/archive/2021/337/ms015,z355,11,16,27,26,232,144,211,131,168,104,dh58,15,19,13,15,204,126,190,118,157,97
2021-337-ms013-4-6-bk40-bg23,vienna,/en/scores/stats-centre/archive/2021/337/ms013,bk40,6,10,31,22,226,140,208,129,169,105,bg23,8,10,16,27,212,131,189,117,165,102
2021-337-ms010-4-5-rh16-su87,vienna,/en/scores/stats-centre/archive/2021/337/ms010,rh16,18,31,27,14,214,132,191,118,152,94,su87,22,36,35,26,218,135,200,124,157,97
2021-337-ms014-4-4-ag37-n771,vienna,/en/scores/stats-centre/archive/2021/337/ms014,ag37,23,33,40,46,214,132,201,124,167,103,n771,14,31,24,15,201,124,177,109,150,93
2021-337-ms011-4-3-s0ag-db59,vienna,/en/scores/stats-centre/archive/2021/337/ms011,s0ag,6,7,13,17,208,129,195,121,155,96,db59,3,8,8,17,207,128,195,121,153,95
2021-337-ms009-4-2-sm37-mc65,vienna,/en/scores/stats-centre/archive/2021/337/ms009,sm37,14,19,20,19,191,118,170,105,145,90,mc65,11,18,28,41,219,136,191,118,162,100
2021-337-ms012-4-1-a0e2-mc10,vienna,/en/scores/stats-centre/archive/2021/337/ms012,a0e2,10,21,24,16,218,135,196,121,159,98,mc10,14,17,16,25,211,131,198,123,154,95
2021-337-ms016-3-16-te51-d875,vienna,/en/scores/stats-centre/archive/2021/337/ms016,te51,19,21,21,11,216,134,205,127,163,101,d875,8,10,27,17,223,138,196,121,146,90
2021-337-ms031-3-15-z355-kb05,vienna,/en/scores/stats-centre/archive/2021/337/ms031,z355,10,13,24,12,233,144,232,144,176,109,kb05,8,13,7,14,199,123,186,115,153,95
2021-337-ms027-3-14-bk40-p09z,vienna,/en/scores/stats-centre/archive/2021/337/ms027,bk40,12,18,15,15,227,141,207,128,173,107,p09z,16,25,18,28,220,136,202,125,164,101
2021-337-ms020-3-13-rh16-hg86,vienna,/en/scores/stats-centre/archive/2021/337/ms020,rh16,7,11,21,10,215,133,193,119,156,96,hg86,11,15,27,27,215,133,201,124,150,93
2021-337-ms024-3-12-mc10-hb71,vienna,/en/scores/stats-centre/archive/2021/337/ms024,mc10,17,24,28,26,211,131,203,126,152,94,hb71,23,34,41,31,227,141,204,126,170,105
2021-337-ms028-3-11-ag37-be90,vienna,/en/scores/stats-centre/archive/2021/337/ms028,ag37,10,21,13,10,213,132,201,124,173,107,be90,11,18,9,28,197,122,182,113,155,96
2021-337-ms023-3-10-s0ag-o522,vienna,/en/scores/stats-centre/archive/2021/337/ms023,s0ag,4,4,9,4,205,127,190,118,151,93,o522,4,10,11,17,231,143,197,122,186,115
2021-337-ms019-3-9-sm37-f510,vienna,/en/scores/stats-centre/archive/2021/337/ms019,sm37,4,10,6,16,192,119,169,105,140,86,f510,11,14,16,37,192,119,176,109,158,98
2021-337-ms025-3-8-a0e2-e687,vienna,/en/scores/stats-centre/archive/2021/337/ms025,a0e2,15,21,20,14,216,134,188,116,155,96,e687,13,19,14,20,204,126,189,117,164,101
2021-337-ms026-3-7-bg23-cd85,vienna,/en/scores/stats-centre/archive/2021/337/ms026,bg23,7,9,30,32,208,129,188,116,162,100,cd85,7,9,28,32,210,130,190,118,145,90
2021-337-ms030-3-6-dh58-a678,vienna,/en/scores/stats-centre/archive/2021/337/ms030,dh58,13,19,16,11,203,126,188,116,156,96,a678,8,17,30,34,221,137,205,127,178,110
