r071,Cliff,Richey,USA,1946.12.31,1946,12,31,1964,77,170,175,69,"San Angelo, TX, U.S.A."
tb69,Dominic,Thiem,AUT,1993.09.03,1993,9,3,2011,79,174,185,73,"Wiener Neustadt, Austria"
w367,Stan,Wawrinka,SUI,1985.03.28,1985,3,28,2002,81,179,183,72,"Lausanne, Switzerland"
t006,Roscoe,Tanner,USA,1951.10.15,1951,10,15,,77,170,183,72,"Chattanooga, TN"
i186,John,Isner,USA,1985.04.26,1985,4,26,2007,108,238,208,82,"Greensboro, NC, USA"
f316,Juan Carlos,Ferrero,ESP,1980.02.12,1980,2,12,1998,73,160,183,72,"Onteniente, Spain"
mm58,Daniil,Medvedev,,1996.02.11,1996,2,11,2014,83,182,198,78,"Moscow, Russia"
s741,Marat,Safin,,1980.01.27,1980,1,27,1997,88,195,193,76,"Moscow, Russia"
g628,Richard,Gasquet,FRA,1986.06.18,1986,6,18,2002,79,174,183,72,"Beziers, France"
f020,Wojtek,Fibak,POL,1952.08.03,1952,8,3,,73,160,183,72,"Poznan, Poland"
b350,Sergi,Bruguera,ESP,1971.01.16,1971,1,16,1988,76,167,188,74,"Barcelona, Spain"
e030,Roy,Emerson,AUS,1936.11.03,1936,11,3,,79,175,183,72,"Blackbutt, QLDS, Australia"
m038,Gene,Mayer,USA,1956.04.11,1956,4,11,,68,150,183,72,"Flushing, NY"
r237,Greg,Rusedski,GBR,1973.09.06,1973,9,6,1991,91,200,193,76,"Montreal, Quebec, Canada"
s014,Emilio,Sanchez,ESP,1965.05.29,1965,5,29,1984,74,164,180,71,"Madrid, Spain"
g182,Magnus,Gustafsson,SWE,1967.01.03,1967,1,3,1986,78,172,185,73,"Lund, Sweden"
r214,Marc,Rosset,SUI,1970.11.07,1970,11,7,1988,88,194,201,79,"Geneva, Switzerland"
f196,Wayne,Ferreira,RSA,1971.09.15,1971,9,15,1989,91,200,185,73,"Johannesburg, South Africa"
h355,Tommy,Haas,GER,1978.04.03,1978,4,3,1996,84,185,188,74,"Hamburg, Germany"
a022,Vijay,Amritraj,IND,1953.12.14,1953,12,14,0,86,190,193,76,"Madras, India"
b428,Alberto,Berasategui,ESP,1973.06.28,1973,6,28,1991,66,145,173,68,"Bilbao, Spain"
sd32,Gilles,Simon,FRA,1984.12.27,1984,12,27,2002,70,154,183,72,"Nice, France"
k022,Johan,Kriek,USA,1958.04.05,1958,4,5,1978,76,168,175,69,"Pongola, South Africa"
ba47,Tomas,Berdych,CZE,1985.09.17,1985,9,17,2002,91,200,196,77,"Valasske Mezirici, CZE"
t007,Balazs,Taroczy,HUN,1954.05.09,1954,5,9,,77,170,183,72,"Budapest, Hungary"
a479,Nicolas,Almagro,ESP,1985.08.21,1985,8,21,2003,86,190,183,72,"Murcia, Spain"
n030,Joakim,Nystrom,SWE,1963.02.20,1963,2,20,,70,155,188,74,"Skelleftea, Sweden"
n552,Kei,Nishikori,JPN,1989.12.29,1989,12,29,2007,73,161,178,70,"Shimane, Japan"
