year,tournament,start date,type,surface,draw,atp points,atp ranking,tournament prize money,round,opponent,ranking,score,stats link,tournament,tournament round,time,winner,player1 name,player1 nationality,player1 aces,player1 double faults,player1 1st serves in,player1 1st serves total,player1 1st serve points won,player1 1st serve points total,player1 2nd serve points won,player1 2nd serve points total,player1 break points won,player1 break points total,player1 service games played,player1 1st serve return points won,player1 1st serve return points total,player1 2nd serve return points won,player1 2nd serve return points total,player1 break points converted won,player1 break points converted total,player1 return games played,player1 total service points won,player1 total service points total,player1 total return points won,player1 total return points total,player1 total points won,player1 total points total,player2 name,player2 nationality,player2 aces,player2 double faults,player2 1st serves in,player2 1st serves total,player2 1st serve points won,player2 1st serve points total,player2 2nd serve points won,player2 2nd serve points total,player2 break points won,player2 break points total,player2 service games played,player2 1st serve return points won,player2 1st serve return points total,player2 2nd serve return points won,player2 2nd serve return points total,player2 break points converted won,player2 break points converted total,player2 return games played,player2 total service points won,player2 total service points total,player2 total return points won,player2 total return points total,player2 total points won,player2 total points total
1972,"Bastad, Sweden",16.07.1972,GP,Outdoor: Clay,Draw: 32,,,$,R16,Vladimir Zednik (CZE),N/A,"W 7-6, 6-2",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=316&y=1972&r=4&p=B058,Bastad,R16,0,Bjorn Borg,Bjorn Borg,Sweden,,,,,,,,,,,,,,,,,,,,,,,,,Vladimir Zednik,Czech Republic,,,,,,,,,,,,,,,,,,,,,,,,
1972,"Bastad, Sweden",16.07.1972,GP,Outdoor: Clay,Draw: 32,,,$,Q,Ilie Nastase (ROU),N/A,"L 2-6, 6-7, 3-6",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=316&y=1972&r=5&p=B058,Bastad,Q,0,Ilie Nastase,Bjorn Borg,Sweden,,,,,,,,,,,,,,,,,,,,,,,,,Ilie Nastase,Romania,,,,,,,,,,,,,,,,,,,,,,,,
1972,"Eastbourne, England",23.06.1972,GP,Outdoor: Grass,Draw: 32,,,$,R32,Andres Gimeno (ESP),N/A,"L 4-6, 5-7",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=2049&y=1972&r=3&p=B058,Eastbourne,R32,0,Andres Gimeno,Bjorn Borg,Sweden,,,,,,,,,,,,,,,,,,,,,,,,,Andres Gimeno,Spain,,,,,,,,,,,,,,,,,,,,,,,,
1972,"Madrid, Spain",16.04.1972,GP,Outdoor: Clay,Draw: 32,,,$,R32,Antonio Zugarelli (ITA),N/A,"W 7-6, 6-3",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=2026&y=1972&r=3&p=B058,Madrid,R32,0,Bjorn Borg,Bjorn Borg,Sweden,,,,,,,,,,,,,,,,,,,,,,,,,Antonio Zugarelli,Italy,,,,,,,,,,,,,,,,,,,,,,,,
1972,"Madrid, Spain",16.04.1972,GP,Outdoor: Clay,Draw: 32,,,$,R16,Jan Kodes (CZE),N/A,"L 3-6, 2-6",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=2026&y=1972&r=4&p=B058,Madrid,R16,0,Jan Kodes,Bjorn Borg,Sweden,,,,,,,,,,,,,,,,,,,,,,,,,Jan Kodes,Czech Republic,,,,,,,,,,,,,,,,,,,,,,,,
1973,"Buenos Aires, Argentina",25.11.1973,GP,Outdoor: Clay,Draw: 32,,17,$,R32,Enrique Caviglia (ARG),N/A,"W 6-0, 6-2",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=303&y=1973&r=3&p=B058,Buenos Aires,R32,0,Bjorn Borg,Bjorn Borg,Sweden,,,,,,,,,,,,,,,,,,,,,,,,,Enrique Caviglia,Argentina,,,,,,,,,,,,,,,,,,,,,,,,
1973,"Buenos Aires, Argentina",25.11.1973,GP,Outdoor: Clay,Draw: 32,,17,$,R16,Ricardo Cano (ARG),N/A,"W 6-4, 7-6",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=303&y=1973&r=4&p=B058,Buenos Aires,R16,0,Bjorn Borg,Bjorn Borg,Sweden,,,,,,,,,,,,,,,,,,,,,,,,,Ricardo Cano,Argentina,,,,,,,,,,,,,,,,,,,,,,,,
1973,"Buenos Aires, Argentina",25.11.1973,GP,Outdoor: Clay,Draw: 32,,17,$,Q,Ion Tiriac (ROU),74,"W 6-1, 3-6, 6-3",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=303&y=1973&r=5&p=B058,Buenos Aires,Q,0,Bjorn Borg,Bjorn Borg,Sweden,,,,,,,,,,,,,,,,,,,,,,,,,Ion Tiriac,Romania,,,,,,,,,,,,,,,,,,,,,,,,
1973,"Buenos Aires, Argentina",25.11.1973,GP,Outdoor: Clay,Draw: 32,,17,$,S,Ivan Molina (COL),54,"W 6-2, 6-3, 6-2",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=303&y=1973&r=6&p=B058,Buenos Aires,S,0,Bjorn Borg,Bjorn Borg,Sweden,,,,,,,,,,,,,,,,,,,,,,,,,Ivan Molina,Colombia,,,,,,,,,,,,,,,,,,,,,,,,
1973,"Buenos Aires, Argentina",25.11.1973,GP,Outdoor: Clay,Draw: 32,,17,$,F,Guillermo Vilas (ARG),33,"L 6-3, 7-6, 4-6, 6-6 RET",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=303&y=1973&r=7&p=B058,Buenos Aires,F,0,Guillermo Vilas,Bjorn Borg,Sweden,,,,,,,,,,,,,,,,,,,,,,,,,Guillermo Vilas,Argentina,,,,,,,,,,,,,,,,,,,,,,,,
