year,tournament,start date,type,surface,draw,atp points,atp ranking,tournament prize money,round,opponent,ranking,score,stats link,tournament,tournament round,time,winner,player1 name,player1 nationality,player1 aces,player1 double faults,player1 1st serves in,player1 1st serves total,player1 1st serve points won,player1 1st serve points total,player1 2nd serve points won,player1 2nd serve points total,player1 break points won,player1 break points total,player1 service games played,player1 1st serve return points won,player1 1st serve return points total,player1 2nd serve return points won,player1 2nd serve return points total,player1 break points converted won,player1 break points converted total,player1 return games played,player1 total service points won,player1 total service points total,player1 total return points won,player1 total return points total,player1 total points won,player1 total points total,player2 name,player2 nationality,player2 aces,player2 double faults,player2 1st serves in,player2 1st serves total,player2 1st serve points won,player2 1st serve points total,player2 2nd serve points won,player2 2nd serve points total,player2 break points won,player2 break points total,player2 service games played,player2 1st serve return points won,player2 1st serve return points total,player2 2nd serve return points won,player2 2nd serve return points total,player2 break points converted won,player2 break points converted total,player2 return games played,player2 total service points won,player2 total service points total,player2 total return points won,player2 total return points total,player2 total points won,player2 total points total
1971,"Los Angeles, California",20.09.1971,GP,Outdoor: Hard,Draw: 64,,,$,Q,Bob Carmichael (AUS),N/A,"W 6-7, 6-3, 6-3",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=423&y=1971&r=5&p=C044,Los Angeles,Q,0,Jimmy Connors,Jimmy Connors,United States,,,,,,,,,,,,,,,,,,,,,,,,,Bob Carmichael,Australia,,,,,,,,,,,,,,,,,,,,,,,,
1971,"Los Angeles, California",20.09.1971,GP,Outdoor: Hard,Draw: 64,,,$,S,Stan Smith (USA),N/A,"W 3-6, 6-3, 7-6",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=423&y=1971&r=6&p=C044,Los Angeles,S,0,Jimmy Connors,Jimmy Connors,United States,,,,,,,,,,,,,,,,,,,,,,,,,Stan Smith,United States,,,,,,,,,,,,,,,,,,,,,,,,
1971,"Los Angeles, California",20.09.1971,GP,Outdoor: Hard,Draw: 64,,,$,F,Richard Pancho Gonzales (USA),N/A,"L 6-3, 3-6, 3-6",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=423&y=1971&r=7&p=C044,Los Angeles,F,0,Richard Pancho Gonzales,Jimmy Connors,United States,,,,,,,,,,,,,,,,,,,,,,,,,Richard Pancho Gonzales,United States,,,,,,,,,,,,,,,,,,,,,,,,
1971,"US Open, NY, U.S.A.",01.09.1971,GS,Outdoor: Grass,Draw: 128,,,$,R128,Alejandro Olmedo (PER),N/A,"W 2-6, 5-7, 6-4, 7-5, 7-5",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=560&y=1971&r=1&p=C044,US Open,R128,0,Jimmy Connors,Jimmy Connors,United States,,,,,,,,,,,,,,,,,,,,,,,,,Alejandro Olmedo,Peru,,,,,,,,,,,,,,,,,,,,,,,,
1971,"US Open, NY, U.S.A.",01.09.1971,GS,Outdoor: Grass,Draw: 128,,,$,R64,Colin Dibley (AUS),N/A,"L 4-6, 3-6, 4-6",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=560&y=1971&r=2&p=C044,US Open,R64,0,Colin Dibley,Jimmy Connors,United States,,,,,,,,,,,,,,,,,,,,,,,,,Colin Dibley,Australia,,,,,,,,,,,,,,,,,,,,,,,,
1971,"South Orange, East Orange, NJ, USA",01.09.1971,GP,Outdoor: Hard,Draw: 64,,,$,R64,Richard Russell (JAM),N/A,"W 7-6, 6-2",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=707&y=1971&r=2&p=C044,South Orange,R64,0,Jimmy Connors,Jimmy Connors,United States,,,,,,,,,,,,,,,,,,,,,,,,,Richard Russell,Jamaica,,,,,,,,,,,,,,,,,,,,,,,,
1971,"South Orange, East Orange, NJ, USA",01.09.1971,GP,Outdoor: Hard,Draw: 64,,,$,R32,Jean-Baptiste Chanfreau (FRA),N/A,"W 6-4, 6-7, 6-4",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=707&y=1971&r=3&p=C044,South Orange,R32,0,Jimmy Connors,Jimmy Connors,United States,,,,,,,,,,,,,,,,,,,,,,,,,Jean-Baptiste Chanfreau,France,,,,,,,,,,,,,,,,,,,,,,,,
1971,"South Orange, East Orange, NJ, USA",01.09.1971,GP,Outdoor: Hard,Draw: 64,,,$,R16,Haroon Rahim (PAK),N/A,"W 4-6, 6-3, 7-6",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=707&y=1971&r=4&p=C044,South Orange,R16,0,Jimmy Connors,Jimmy Connors,United States,,,,,,,,,,,,,,,,,,,,,,,,,Haroon Rahim,Pakistan,,,,,,,,,,,,,,,,,,,,,,,,
1971,"South Orange, East Orange, NJ, USA",01.09.1971,GP,Outdoor: Hard,Draw: 64,,,$,Q,Onny Parun (NZL),N/A,"L 3-6, 6-7",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=707&y=1971&r=5&p=C044,South Orange,Q,0,Onny Parun,Jimmy Connors,United States,,,,,,,,,,,,,,,,,,,,,,,,,Onny Parun,New Zealand,,,,,,,,,,,,,,,,,,,,,,,,
1971,"Indianapolis, Indiana, U.S.A.",16.08.1971,GP,Outdoor: Clay,Draw: 64,,,$,R64,Sherwood Stewart (USA),N/A,"W 6-4, 6-3",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=419&y=1971&r=2&p=C044,Indianapolis,R64,0,Jimmy Connors,Jimmy Connors,United States,,,,,,,,,,,,,,,,,,,,,,,,,Sherwood Stewart,United States,,,,,,,,,,,,,,,,,,,,,,,,
