year,tournament,start date,type,surface,draw,atp points,atp ranking,tournament prize money,round,opponent,ranking,score,stats link,tournament,tournament round,time,winner,player1 name,player1 nationality,player1 aces,player1 double faults,player1 1st serves in,player1 1st serves total,player1 1st serve points won,player1 1st serve points total,player1 2nd serve points won,player1 2nd serve points total,player1 break points won,player1 break points total,player1 service games played,player1 1st serve return points won,player1 1st serve return points total,player1 2nd serve return points won,player1 2nd serve return points total,player1 break points converted won,player1 break points converted total,player1 return games played,player1 total service points won,player1 total service points total,player1 total return points won,player1 total return points total,player1 total points won,player1 total points total,player2 name,player2 nationality,player2 aces,player2 double faults,player2 1st serves in,player2 1st serves total,player2 1st serve points won,player2 1st serve points total,player2 2nd serve points won,player2 2nd serve points total,player2 break points won,player2 break points total,player2 service games played,player2 1st serve return points won,player2 1st serve return points total,player2 2nd serve return points won,player2 2nd serve return points total,player2 break points converted won,player2 break points converted total,player2 return games played,player2 total service points won,player2 total service points total,player2 total return points won,player2 total return points total,player2 total points won,player2 total points total
1978,"Aix-En-Provence, France",25.09.1978,GP,Outdoor: Clay,Draw: 32,,,$,R32,Peter Elter (GER),N/A,"W 6-4, 6-3",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=342&y=1978&r=3&p=L018,Aix-En-Provence,R32,0,Ivan Lendl,Ivan Lendl,United States,,,,,,,,,,,,,,,,,,,,,,,,,Peter Elter,Germany,,,,,,,,,,,,,,,,,,,,,,,,
1978,"Aix-En-Provence, France",25.09.1978,GP,Outdoor: Clay,Draw: 32,,,$,R16,Fernando Dalla-Fontana (ARG),N/A,"W 7-6, 6-1",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=342&y=1978&r=4&p=L018,Aix-En-Provence,R16,0,Ivan Lendl,Ivan Lendl,United States,,,,,,,,,,,,,,,,,,,,,,,,,Fernando Dalla-Fontana,Argentina,,,,,,,,,,,,,,,,,,,,,,,,
1978,"Aix-En-Provence, France",25.09.1978,GP,Outdoor: Clay,Draw: 32,,,$,Q,Eric Deblicker (FRA),N/A,"W 3-6, 4-0 RET",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=342&y=1978&r=5&p=L018,Aix-En-Provence,Q,0,Ivan Lendl,Ivan Lendl,United States,,,,,,,,,,,,,,,,,,,,,,,,,Eric Deblicker,France,,,,,,,,,,,,,,,,,,,,,,,,
1978,"Aix-En-Provence, France",25.09.1978,GP,Outdoor: Clay,Draw: 32,,,$,S,Jose-Luis Clerc (ARG),N/A,"L 3-6, 1-6",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=342&y=1978&r=6&p=L018,Aix-En-Provence,S,0,Jose-Luis Clerc,Ivan Lendl,United States,,,,,,,,,,,,,,,,,,,,,,,,,Jose-Luis Clerc,Argentina,,,,,,,,,,,,,,,,,,,,,,,,
1978,"Roland Garros, France",29.05.1978,GS,Outdoor: Clay,Draw: 128,,,$,R128,Jose-Luis Clerc (ARG),N/A,"L 3-6, 0-6, 3-6",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=520&y=1978&r=1&p=L018,Roland Garros,R128,0,Jose-Luis Clerc,Ivan Lendl,United States,,,,,,,,,,,,,,,,,,,,,,,,,Jose-Luis Clerc,Argentina,,,,,,,,,,,,,,,,,,,,,,,,
1979,"Buenos Aires, Argentina",19.11.1979,GP,Outdoor: Clay,Draw: 32,,,$,R32,Roberto Arguello (ARG),N/A,"W 6-3, 6-2",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=303&y=1979&r=3&p=L018,Buenos Aires,R32,0,Ivan Lendl,Ivan Lendl,United States,,,,,,,,,,,,,,,,,,,,,,,,,Roberto Arguello,Argentina,,,,,,,,,,,,,,,,,,,,,,,,
1979,"Buenos Aires, Argentina",19.11.1979,GP,Outdoor: Clay,Draw: 32,,,$,R16,Alejandro Pierola (CHI),N/A,"W 6-7, 7-5, 6-4",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=303&y=1979&r=4&p=L018,Buenos Aires,R16,0,Ivan Lendl,Ivan Lendl,United States,,,,,,,,,,,,,,,,,,,,,,,,,Alejandro Pierola,Chile,,,,,,,,,,,,,,,,,,,,,,,,
1979,"Buenos Aires, Argentina",19.11.1979,GP,Outdoor: Clay,Draw: 32,,,$,Q,Jose Higueras (ESP),N/A,"W 6-2, 6-2",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=303&y=1979&r=5&p=L018,Buenos Aires,Q,0,Ivan Lendl,Ivan Lendl,United States,,,,,,,,,,,,,,,,,,,,,,,,,Jose Higueras,Spain,,,,,,,,,,,,,,,,,,,,,,,,
1979,"Buenos Aires, Argentina",19.11.1979,GP,Outdoor: Clay,Draw: 32,,,$,S,Jose-Luis Clerc (ARG),N/A,"L 3-6, 6-3, 4-6",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=303&y=1979&r=6&p=L018,Buenos Aires,S,0,Jose-Luis Clerc,Ivan Lendl,United States,,,,,,,,,,,,,,,,,,,,,,,,,Jose-Luis Clerc,Argentina,,,,,,,,,,,,,,,,,,,,,,,,
1979,"Tokyo Indoor, Japan",30.10.1979,GP,Indoor: Carpet,Draw: 32,,,$,R32,Mark Edmondson (AUS),N/A,"W 3-6, 7-6, 6-2",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=428&y=1979&r=3&p=L018,Tokyo Indoor,R32,0,Ivan Lendl,Ivan Lendl,United States,,,,,,,,,,,,,,,,,,,,,,,,,Mark Edmondson,Australia,,,,,,,,,,,,,,,,,,,,,,,,
1979,"Tokyo Indoor, Japan",30.10.1979,GP,Indoor: Carpet,Draw: 32,,,$,R16,John Sadri (USA),N/A,"L 0-6, 6-4, 3-6",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=428&y=1979&r=4&p=L018,Tokyo Indoor,R16,0,John Sadri,Ivan Lendl,United States,,,,,,,,,,,,,,,,,,,,,,,,,John Sadri,United States,,,,,,,,,,,,,,,,,,,,,,,,
1979,"Vienna, Austria",22.10.1979,GP,Indoor: Hard,Draw: 48,,,$,R64,Ferdi Taygan (USA),N/A,"W 6-3, 6-2",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=337&y=1979&r=2&p=L018,Vienna,R64,0,Ivan Lendl,Ivan Lendl,United States,,,,,,,,,,,,,,,,,,,,,,,,,Ferdi Taygan,United States,,,,,,,,,,,,,,,,,,,,,,,,
