year,tournament,start date,type,surface,draw,atp points,atp ranking,tournament prize money,round,opponent,ranking,score,stats link,tournament,tournament round,time,winner,player1 name,player1 nationality,player1 aces,player1 double faults,player1 1st serves in,player1 1st serves total,player1 1st serve points won,player1 1st serve points total,player1 2nd serve points won,player1 2nd serve points total,player1 break points won,player1 break points total,player1 service games played,player1 1st serve return points won,player1 1st serve return points total,player1 2nd serve return points won,player1 2nd serve return points total,player1 break points converted won,player1 break points converted total,player1 return games played,player1 total service points won,player1 total service points total,player1 total return points won,player1 total return points total,player1 total points won,player1 total points total,player2 name,player2 nationality,player2 aces,player2 double faults,player2 1st serves in,player2 1st serves total,player2 1st serve points won,player2 1st serve points total,player2 2nd serve points won,player2 2nd serve points total,player2 break points won,player2 break points total,player2 service games played,player2 1st serve return points won,player2 1st serve return points total,player2 2nd serve return points won,player2 2nd serve return points total,player2 break points converted won,player2 break points converted total,player2 return games played,player2 total service points won,player2 total service points total,player2 total return points won,player2 total return points total,player2 total points won,player2 total points total
1969,"US Open, NY, U.S.A.",27.08.1969,GS,Outdoor: Grass,Draw: 128,,,$,R32,Ismail El Shafei (EGY),N/A,"W 6-0, 1-0 RET",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=560&y=1969&r=3&p=N008,US Open,R32,0,Ilie Nastase,Ilie Nastase,Romania,,,,,,,,,,,,,,,,,,,,,,,,,Ismail El Shafei,Egypt,,,,,,,,,,,,,,,,,,,,,,,,
1969,"US Open, NY, U.S.A.",27.08.1969,GS,Outdoor: Grass,Draw: 128,,,$,R16,Ken Rosewall (AUS),N/A,"L 1-6, 5-7, 6-4, 3-6",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=560&y=1969&r=4&p=N008,US Open,R16,0,Ken Rosewall,Ilie Nastase,Romania,,,,,,,,,,,,,,,,,,,,,,,,,Ken Rosewall,Australia,,,,,,,,,,,,,,,,,,,,,,,,
1969,"Hamburg, Germany",11.08.1969,GP,Outdoor: Clay,Draw: 64,,,$,R64,Jean-Claude Barclay (FRA),N/A,"W 6-3, 6-3, 6-3",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=414&y=1969&r=2&p=N008,Hamburg,R64,0,Ilie Nastase,Ilie Nastase,Romania,,,,,,,,,,,,,,,,,,,,,,,,,Jean-Claude Barclay,France,,,,,,,,,,,,,,,,,,,,,,,,
1969,"Hamburg, Germany",11.08.1969,GP,Outdoor: Clay,Draw: 64,,,$,R32,Roger Taylor (GBR),N/A,"W 6-4, 3-6, 6-3, 7-5",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=414&y=1969&r=3&p=N008,Hamburg,R32,0,Ilie Nastase,Ilie Nastase,Romania,,,,,,,,,,,,,,,,,,,,,,,,,Roger Taylor,Great Britain,,,,,,,,,,,,,,,,,,,,,,,,
1969,"Hamburg, Germany",11.08.1969,GP,Outdoor: Clay,Draw: 64,,,$,R16,Zeljko Franulovic (CRO),N/A,"L 3-6, 2-6, 6-2, 4-6",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=414&y=1969&r=4&p=N008,Hamburg,R16,0,Zeljko Franulovic,Ilie Nastase,Romania,,,,,,,,,,,,,,,,,,,,,,,,,Zeljko Franulovic,Croatia,,,,,,,,,,,,,,,,,,,,,,,,
1969,"Wimbledon, England",23.06.1969,GS,Outdoor: Grass,Draw: 128,,,$,R128,Tom Gorman (USA),N/A,"W 6-3, 4-6, 6-3, 6-8, 6-4",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=540&y=1969&r=1&p=N008,Wimbledon,R128,0,Ilie Nastase,Ilie Nastase,Romania,,,,,,,,,,,,,,,,,,,,,,,,,Tom Gorman,United States,,,,,,,,,,,,,,,,,,,,,,,,
1969,"Wimbledon, England",23.06.1969,GS,Outdoor: Grass,Draw: 128,,,$,R64,Pierre Barthes (FRA),N/A,"W 6-2, 6-4, 3-6, 6-3",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=540&y=1969&r=2&p=N008,Wimbledon,R64,0,Ilie Nastase,Ilie Nastase,Romania,,,,,,,,,,,,,,,,,,,,,,,,,Pierre Barthes,France,,,,,,,,,,,,,,,,,,,,,,,,
1969,"Wimbledon, England",23.06.1969,GS,Outdoor: Grass,Draw: 128,,,$,R32,Clark Graebner (USA),N/A,"L 5-7, 6-8, 4-6",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=540&y=1969&r=3&p=N008,Wimbledon,R32,0,Clark Graebner,Ilie Nastase,Romania,,,,,,,,,,,,,,,,,,,,,,,,,Clark Graebner,United States,,,,,,,,,,,,,,,,,,,,,,,,
1969,"London / Queen's Club, England",16.06.1969,GP,Outdoor: Grass,Draw: 128,,,$,R128,Terry Ryan (RSA),N/A,L  W/O,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=311&y=1969&r=1&p=N008,London / Queen's Club,R128,0,Terry Ryan,Ilie Nastase,Romania,,,,,,,,,,,,,,,,,,,,,,,,,Terry Ryan,South Africa,,,,,,,,,,,,,,,,,,,,,,,,
1969,"Roland Garros, France",28.05.1969,GS,Outdoor: Clay,Draw: 128,,,$,R128,Stanley Matthews (GBR),N/A,"L 3-6, 6-0, 6-0, 4-6, 6-8",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=520&y=1969&r=1&p=N008,Roland Garros,R128,0,Stanley Matthews,Ilie Nastase,Romania,,,,,,,,,,,,,,,,,,,,,,,,,Stanley Matthews,Great Britain,,,,,,,,,,,,,,,,,,,,,,,,
