1878-540,1,wimbledon,/en/scores/archive/wimbledon/540/1878/results,Round Robin,4,1,L. Erskine,e994,l-erskine,C. Hamilton,hg49,c-hamilton,,,64 36 61 36 65,3,2,24,22,0,0,1878-540-e994-hg49,
1878-540,1,wimbledon,/en/scores/archive/wimbledon/540/1878/results,Round Robin,4,2,Frank Hadow,hg50,frank-hadow,A.T. Myers,mu63,at-myers,,,60 64 63,3,0,18,7,0,0,1878-540-hg50-mu63,
1878-540,1,wimbledon,/en/scores/archive/wimbledon/540/1878/results,Round Robin,4,3,L. Erskine,e994,l-erskine,F. Porter,pl22,f-porter,,,61 63 56 61,3,1,23,11,0,0,1878-540-e994-pl22,
1878-540,1,wimbledon,/en/scores/archive/wimbledon/540/1878/results,Round Robin,4,4,Frank Hadow,hg50,frank-hadow,A. Brown,bt07,a-brown,,,62 63 60,3,0,18,5,0,0,1878-540-hg50-bt07,
1878-540,1,wimbledon,/en/scores/archive/wimbledon/540/1878/results,Round Robin,4,5,C. Hamilton,hg49,c-hamilton,E. Brackenbury,bt06,e-brackenbury,,,60 62 62,3,0,18,4,0,0,1878-540-hg49-bt06,
1878-540,1,wimbledon,/en/scores/archive/wimbledon/540/1878/results,Round Robin,4,6,Herbert Lawford,lg94,herbert-lawford,E. Seymour,sx13,e-seymour,,,65 56 65 64,3,1,23,20,0,0,1878-540-lg94-sx13,
1878-540,1,wimbledon,/en/scores/archive/wimbledon/540/1878/results,Round Robin,4,7,E. Brackenbury,bt06,e-brackenbury,C. Heathcote,hg42,c-heathcote,,,64 62 46 46 65,3,2,26,23,0,0,1878-540-bt06-hg42,
1878-540,1,wimbledon,/en/scores/archive/wimbledon/540/1878/results,Round Robin,4,8,A. Brown,bt07,a-brown,R. Dalby,dg31,r-dalby,,,61 61 61,3,0,18,3,0,0,1878-540-bt07-dg31,
1878-540,1,wimbledon,/en/scores/archive/wimbledon/540/1878/results,Round Robin,4,9,Frank Hadow,hg50,frank-hadow,A. Tabor,tf89,a-tabor,,,62 61 61,3,0,18,4,0,0,1878-540-hg50-tf89,
1878-540,1,wimbledon,/en/scores/archive/wimbledon/540/1878/results,Round Robin,4,10,C. Hamilton,hg49,c-hamilton,G. Montgomerie,mu17,g-montgomerie,,,56 64 65 63,3,1,23,18,0,0,1878-540-hg49-mu17,
1878-540,1,wimbledon,/en/scores/archive/wimbledon/540/1878/results,Round Robin,4,11,Herbert Lawford,lg94,herbert-lawford,Capt Grimston,gi90,capt-grimston,,,56 64 64 65,3,1,23,19,0,0,1878-540-lg94-gi90,
