2021-499,1,Nitto ATP Finals,delray-beach,/en/scores/archive/delray-beach/499/2021/results,2021.01.07,2021,1,7,2021.01.13,2021,1,13,USD,349530,2021,Round of 16,4,8,Roberto Quiroz,q941,roberto-quiroz,Ivo Karlovic,k336,ivo-karlovic,Q,,62 64,2,0,12,6,0,0,2021-499-2021-4-1-q941-k336,/en/scores/match-stats/archive/2021/499/ms011
2021-499,1,Nitto ATP Finals,delray-beach,/en/scores/archive/delray-beach/499/2021/results,2021.01.07,2021,1,7,2021.01.13,2021,1,13,USD,349530,2021,Round of 32,5,5,Tommy Paul,pl56,tommy-paul,JiSung Nam,n652,jisung-nam,5,,61 64,2,0,12,5,0,0,2021-499-2021-3-12-pl56-n652,/en/scores/match-stats/archive/2021/499/ms028
2021-499,1,Nitto ATP Finals,delray-beach,/en/scores/archive/delray-beach/499/2021/results,2021.01.07,2021,1,7,2021.01.13,2021,1,13,USD,349530,2021,Round of 32,5,6,Sam Querrey,q927,sam-querrey,Mackenzie McDonald,mk66,mackenzie-mcdonald,6,,63 64,2,0,12,7,0,0,2021-499-2021-3-11-q927-mk66,/en/scores/match-stats/archive/2021/499/ms019
2021-499,1,Nitto ATP Finals,delray-beach,/en/scores/archive/delray-beach/499/2021/results,2021.01.07,2021,1,7,2021.01.13,2021,1,13,USD,349530,2021,Round of 32,5,7,Ivo Karlovic,k336,ivo-karlovic,Pablo Andujar,a596,pablo-andujar,,7,63 57 64,2,1,17,14,0,0,2021-499-2021-3-10-k336-a596,/en/scores/match-stats/archive/2021/499/ms023
2021-499,1,Nitto ATP Finals,delray-beach,/en/scores/archive/delray-beach/499/2021/results,2021.01.07,2021,1,7,2021.01.13,2021,1,13,USD,349530,2021,Round of 32,5,8,Frances Tiafoe,td51,frances-tiafoe,Donald Young,y124,donald-young,8,Q,63 64,2,0,12,7,0,0,2021-499-2021-3-9-td51-y124,/en/scores/match-stats/archive/2021/499/ms024
2021-499,1,Nitto ATP Finals,delray-beach,/en/scores/archive/delray-beach/499/2021/results,2021.01.07,2021,1,7,2021.01.13,2021,1,13,USD,349530,2021,Round of 32,5,9,Bjorn Fratangelo,f811,bjorn-fratangelo,Kevin King,kb14,kevin-king,,Q,62 62,2,0,12,4,0,0,2021-499-2021-3-8-f811-kb14,/en/scores/match-stats/archive/2021/499/ms025
2021-499,1,Nitto ATP Finals,delray-beach,/en/scores/archive/delray-beach/499/2021/results,2021.01.07,2021,1,7,2021.01.13,2021,1,13,USD,349530,2021,Round of 32,5,10,Daniel Elahi Galan,ge33,daniel-elahi-galan,Andrej Martin,mf35,andrej-martin,,,64 64,2,0,12,8,0,0,2021-499-2021-3-7-ge33-mf35,/en/scores/match-stats/archive/2021/499/ms021
2021-499,1,Nitto ATP Finals,delray-beach,/en/scores/archive/delray-beach/499/2021/results,2021.01.07,2021,1,7,2021.01.13,2021,1,13,USD,349530,2021,Round of 32,5,11,Christian Harrison,hb05,christian-harrison,Tomas Martin Etcheverry,ea24,tomas-martin-etcheverry,Q,,64 62,2,0,12,6,0,0,2021-499-2021-3-6-hb05-ea24,/en/scores/match-stats/archive/2021/499/ms017
2021-499,1,Nitto ATP Finals,delray-beach,/en/scores/archive/delray-beach/499/2021/results,2021.01.07,2021,1,7,2021.01.13,2021,1,13,USD,349530,2021,Round of 32,5,12,Sebastian Korda,k0ah,sebastian-korda,Soonwoo Kwon,kf17,soonwoo-kwon,,,64 64,2,0,12,8,0,0,2021-499-2021-3-5-k0ah-kf17,/en/scores/match-stats/archive/2021/499/ms029
2021-499,1,Nitto ATP Finals,delray-beach,/en/scores/archive/delray-beach/499/2021/results,2021.01.07,2021,1,7,2021.01.13,2021,1,13,USD,349530,2021,Round of 32,5,13,Gianluca Mager,ml57,gianluca-mager,Ryan Harrison,h940,ryan-harrison,,WC,36 61 64,2,1,15,11,0,0,2021-499-2021-3-4-ml57-h940,/en/scores/match-stats/archive/2021/499/ms018
