tourney_year,tourney_name,tourney_name_slug,tourney_id,tourney_location,tourney_dates,tourney_singles_draw,tourney_doubles_draw,tourney_conditions,tourney_surface,player_name,player_slug,player_id,player_event_points,player_ranking,match_round,opponent_name,opponent_name_slug,opponent_player_id,opponent_rank,match_win_loss,match_score,sets_won,sets_lost,sets_total,games_won,games_lost,games_total,tiebreaks_won,tiebreaks_lost,tiebreaks_total,match_time,match_duration,player_aces,player_double_faults,player_first_serves_in,player_first_serves_total,player_first_serve_percentage,player_first_serve_points_won,player_first_serve_points_total,player_first_serve_points_won_percentage,player_second_serve_points_won,player_second_serve_points_total,player_second_serve_points_won_percentage,player_break_points_saved,player_break_points_serve_total,player_break_points_saved_percentage,player_service_points_won,player_service_points_total,player_service_points_won_percentage,player_first_serve_return_won,player_first_serve_return_total,player_first_serve_return_percentage,player_second_serve_return_won,player_second_serve_return_total,player_second_serve_return_won_percentage,player_break_points_converted,player_break_points_return_total,player_break_points_converted_percentage,player_service_games_played,player_return_games_played,player_return_points_won,player_return_points_total,player_total_points_won,player_total_points_total,player_total_points_won_percentage,opponent_aces,opponent_double_faults,opponent_first_serves_in,opponent_first_serves_total,opponent_first_serve_percentage,opponent_first_serve_points_won,opponent_first_serve_points_total,opponent_first_serve_points_won_percentage,opponent_second_serve_points_won,opponent_second_serve_points_total,opponent_second_serve_points_won_percentage,opponent_break_points_saved,opponent_break_points_serve_total,opponent_break_points_saved_percentage,opponent_service_points_won,opponent_service_points_total,opponent_service_points_won_percentage,opponent_first_serve_return_won,opponent_first_serve_return_total,opponent_first_serve_return_percentage,opponent_second_serve_return_won,opponent_second_serve_return_total,opponent_second_serve_return_won_percentage,opponent_break_points_converted,opponent_break_points_return_total,opponent_break_points_converted_percentage,opponent_service_games_played,opponent_return_games_played,opponent_return_points_won,opponent_return_points_total,opponent_total_points_won,opponent_total_points_total,opponent_total_points_won_percentage
2008,Tennis Masters Cup,atp-finals,605,China,2008.11.10 - 2008.11.16,8,8,Indoor,Hard,Roger Federer,roger-federer,f324,200,2,Round Robin,Andy Murray,andy-murray,mc10,4,L,64 67(3) 57,1,2,3,17,18,35,0,1,1,03:01:00,181,11,3,68,131,52,40,68,59,31,63,49,12,18,67,71,131,54,19,63,30,28,49,57,6,14,43,17,17,47,112,118,243,49,7,3,63,112,56,44,63,70,21,49,43,8,14,57,65,112,58,28,68,41,32,63,51,6,18,33,17,17,60,131,125,243,51
2008,Tennis Masters Cup,atp-finals,605,China,2008.11.10 - 2008.11.16,8,8,Indoor,Hard,Roger Federer,roger-federer,f324,200,2,Round Robin,Radek Stepanek,radek-stepanek,s694,27,W,76(4) 64,2,0,2,13,10,23,1,0,1,01:41:00,101,6,1,47,74,64,32,47,68,16,27,59,1,3,33,48,74,65,14,46,30,18,31,58,3,5,60,11,11,32,77,80,151,53,4,3,46,77,60,32,46,70,13,31,42,2,5,40,45,77,58,15,47,32,11,27,41,2,3,67,11,11,26,74,71,151,47
2008,Tennis Masters Cup,atp-finals,605,China,2008.11.10 - 2008.11.16,8,8,Indoor,Hard,Roger Federer,roger-federer,f324,200,2,Round Robin,Gilles Simon,gilles-simon,sd32,9,L,64 46 36,1,2,3,13,16,29,,,,02:08:00,128,3,2,47,91,52,35,47,74,21,44,48,9,12,75,56,91,62,17,55,31,19,46,41,2,10,20,14,15,36,101,92,192,48,7,3,55,101,54,38,55,69,27,46,59,8,10,80,65,101,64,12,47,26,23,44,52,3,12,25,15,14,35,91,100,192,52
2008,ATP World Tour Masters 1000 Paris,paris,352,"Paris, France",2008.10.27 - 2008.11.02,48,24,Indoor,Hard,Roger Federer,roger-federer,f324,250,2,Quarter-Finals,James Blake,james-blake,b676,11,L,(W/O),0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,ATP World Tour Masters 1000 Paris,paris,352,"Paris, France",2008.10.27 - 2008.11.02,48,24,Indoor,Hard,Roger Federer,roger-federer,f324,250,2,Round of 16,Marin Cilic,marin-cilic,c977,25,W,63 64,2,0,2,12,7,19,,,,01:11:00,71,4,0,37,61,61,26,37,70,16,24,67,1,2,50,42,61,69,10,34,29,16,25,64,3,6,50,10,9,26,59,68,120,57,7,3,34,59,58,24,34,71,9,25,36,3,6,50,33,59,56,11,37,30,8,24,33,1,2,50,9,10,19,61,52,120,43
2008,ATP World Tour Masters 1000 Paris,paris,352,"Paris, France",2008.10.27 - 2008.11.02,48,24,Indoor,Hard,Roger Federer,roger-federer,f324,250,2,Round of 32,Robin Soderling,robin-soderling,sa49,18,W,64 76(7) ,2,0,2,13,10,23,1,0,1,01:15:00,75,10,0,42,60,70,38,42,90,12,18,67,0,0,0,50,60,83,10,44,23,11,24,46,1,2,50,11,11,21,68,71,128,55,5,1,44,68,65,34,44,77,13,24,54,1,2,50,47,68,69,4,42,10,6,18,33,0,0,0,11,11,10,60,57,128,45
2008,Basel,basel,328,"Basel, Switzerland",2008.10.20 - 2008.10.26,32,16,Indoor,Hard,Roger Federer,roger-federer,f324,500,2,Finals,David Nalbandian,david-nalbandian,n301,8,W,63 64,2,0,2,12,7,19,,,,01:10:00,70,8,0,30,47,64,26,30,87,14,17,82,0,0,0,40,47,85,14,41,34,10,20,50,2,8,25,10,9,24,61,64,108,59,5,3,41,61,67,27,41,66,10,20,50,6,8,75,37,61,61,4,30,13,3,17,18,0,0,0,9,10,7,47,44,108,41
2008,Basel,basel,328,"Basel, Switzerland",2008.10.20 - 2008.10.26,32,16,Indoor,Hard,Roger Federer,roger-federer,f324,500,2,Semi-Finals,Feliciano Lopez,feliciano-lopez,l397,39,W,63 62,2,0,2,12,5,17,,,,01:01:00,61,15,2,31,54,57,28,31,90,12,23,52,2,2,100,40,54,74,7,25,28,16,27,59,3,4,75,9,8,23,52,63,106,59,5,2,25,52,48,18,25,72,11,27,41,1,4,25,29,52,56,3,31,10,11,23,48,0,2,0,8,9,14,54,43,106,41
2008,Basel,basel,328,"Basel, Switzerland",2008.10.20 - 2008.10.26,32,16,Indoor,Hard,Roger Federer,roger-federer,f324,500,2,Quarter-Finals,Simone Bolelli,simone-bolelli,ba98,42,W,62 63,2,0,2,12,5,17,,,,01:07:00,67,8,1,39,56,70,33,39,85,8,17,47,1,1,100,41,56,73,11,29,38,10,18,56,3,6,50,9,8,21,47,62,103,60,3,3,29,47,62,18,29,62,8,18,44,3,6,50,26,47,55,6,39,15,9,17,53,0,1,0,8,9,15,56,41,103,40
2008,Basel,basel,328,"Basel, Switzerland",2008.10.20 - 2008.10.26,32,16,Indoor,Hard,Roger Federer,roger-federer,f324,500,2,Round of 16,Jarkko Nieminen,jarkko-nieminen,n289,29,W,76(6) 76(1) ,2,0,2,14,12,26,2,0,2,01:36:00,96,11,0,64,89,72,44,64,69,14,25,56,5,8,63,58,89,65,19,50,38,10,28,36,3,5,60,12,12,29,78,87,167,52,1,2,50,78,64,31,50,62,18,28,64,2,5,40,49,78,63,20,64,31,11,25,44,3,8,38,12,12,31,89,80,167,48
