tourney_year,tourney_name,tourney_name_slug,tourney_id,tourney_location,tourney_dates,tourney_singles_draw,tourney_doubles_draw,tourney_conditions,tourney_surface,player_name,player_slug,player_id,player_event_points,player_ranking,match_round,opponent_name,opponent_name_slug,opponent_player_id,opponent_rank,match_win_loss,match_score,sets_won,sets_lost,sets_total,games_won,games_lost,games_total,tiebreaks_won,tiebreaks_lost,tiebreaks_total,match_time,match_duration,player_aces,player_double_faults,player_first_serves_in,player_first_serves_total,player_first_serve_percentage,player_first_serve_points_won,player_first_serve_points_total,player_first_serve_points_won_percentage,player_second_serve_points_won,player_second_serve_points_total,player_second_serve_points_won_percentage,player_break_points_saved,player_break_points_serve_total,player_break_points_saved_percentage,player_service_points_won,player_service_points_total,player_service_points_won_percentage,player_first_serve_return_won,player_first_serve_return_total,player_first_serve_return_percentage,player_second_serve_return_won,player_second_serve_return_total,player_second_serve_return_won_percentage,player_break_points_converted,player_break_points_return_total,player_break_points_converted_percentage,player_service_games_played,player_return_games_played,player_return_points_won,player_return_points_total,player_total_points_won,player_total_points_total,player_total_points_won_percentage,opponent_aces,opponent_double_faults,opponent_first_serves_in,opponent_first_serves_total,opponent_first_serve_percentage,opponent_first_serve_points_won,opponent_first_serve_points_total,opponent_first_serve_points_won_percentage,opponent_second_serve_points_won,opponent_second_serve_points_total,opponent_second_serve_points_won_percentage,opponent_break_points_saved,opponent_break_points_serve_total,opponent_break_points_saved_percentage,opponent_service_points_won,opponent_service_points_total,opponent_service_points_won_percentage,opponent_first_serve_return_won,opponent_first_serve_return_total,opponent_first_serve_return_percentage,opponent_second_serve_return_won,opponent_second_serve_return_total,opponent_second_serve_return_won_percentage,opponent_break_points_converted,opponent_break_points_return_total,opponent_break_points_converted_percentage,opponent_service_games_played,opponent_return_games_played,opponent_return_points_won,opponent_return_points_total,opponent_total_points_won,opponent_total_points_total,opponent_total_points_won_percentage
2013,Basel,basel,328,"Basel, Switzerland",2013.10.21 - 2013.10.27,32,16,Indoor,Hard,Roger Federer,roger-federer,f324,300,6,Quarter-Finals,Grigor Dimitrov,grigor-dimitrov,d875,22,W,63 76(2) ,2,0,2,13,9,22,1,0,1,01:32:00,92,3,4,38,68,56,32,38,84,16,30,53,9,10,90,48,68,71,13,37,35,18,39,46,3,5,60,10,11,31,76,79,144,55,7,6,37,76,49,24,37,65,21,39,54,2,5,40,45,76,59,6,38,16,14,30,47,1,10,10,11,10,20,68,65,144,45
2013,Basel,basel,328,"Basel, Switzerland",2013.10.21 - 2013.10.27,32,16,Indoor,Hard,Roger Federer,roger-federer,f324,300,6,Round of 16,Denis Istomin,denis-istomin,i165,48,W,46 63 62,2,1,3,16,11,27,,,,01:51:00,111,4,1,46,82,56,33,46,72,25,36,69,5,6,83,58,82,71,20,58,34,17,32,53,3,12,25,14,13,37,90,95,172,55,5,0,58,90,64,38,58,66,15,32,47,9,12,75,53,90,59,13,46,28,11,36,31,1,6,17,13,14,24,82,77,172,45
2013,Basel,basel,328,"Basel, Switzerland",2013.10.21 - 2013.10.27,32,16,Indoor,Hard,Roger Federer,roger-federer,f324,300,6,Round of 32,Adrian Mannarino,adrian-mannarino,me82,62,W,64 62,2,0,2,12,6,18,,,,01:11:00,71,3,2,25,49,51,22,25,88,14,24,58,0,1,0,36,49,73,9,31,29,21,32,66,4,13,31,9,9,30,63,66,112,59,1,2,31,63,49,22,31,71,11,32,34,9,13,69,33,63,52,3,25,12,10,24,42,1,1,100,9,9,13,49,46,112,41
2013,ATP World Tour Masters 1000 Shanghai,shanghai,5014,"Shanghai, China",2013.10.07 - 2013.10.13,56,24,Outdoor,Hard,Roger Federer,roger-federer,f324,90,7,Round of 16,Gael Monfils,gael-monfils,mc65,42,L,46 76(5) 36,1,2,3,14,18,32,1,0,1,02:09:00,129,3,2,73,102,72,52,73,71,15,29,52,7,10,70,67,102,66,12,61,20,19,43,44,1,5,20,15,16,31,104,98,206,48,15,5,61,104,59,49,61,80,24,43,56,4,5,80,73,104,70,21,73,29,14,29,48,3,10,30,16,15,35,102,108,206,52
2013,ATP World Tour Masters 1000 Shanghai,shanghai,5014,"Shanghai, China",2013.10.07 - 2013.10.13,56,24,Outdoor,Hard,Roger Federer,roger-federer,f324,90,7,Round of 32,Andreas Seppi,andreas-seppi,sa93,22,W,64 63,2,0,2,12,7,19,,,,01:14:00,74,7,2,40,67,60,30,40,75,14,27,52,4,5,80,44,67,66,13,34,38,10,21,48,3,5,60,10,9,23,55,67,122,55,0,3,34,55,62,21,34,62,11,21,52,2,5,40,32,55,58,10,40,25,13,27,48,1,5,20,9,10,23,67,55,122,45
2013,US Open,us-open,560,"New York, NY, U.S.A.",2013.08.26 - 2013.09.08,128,64,Outdoor,Hard,Roger Federer,roger-federer,f324,180,7,Round of 16,Tommy Robredo,tommy-robredo,r419,22,L,67(3) 36 46,0,3,3,13,19,32,0,1,1,02:24:00,144,5,0,52,86,60,38,52,73,16,34,47,3,7,43,54,86,63,27,88,31,20,37,54,2,16,13,15,16,47,125,101,211,48,6,4,88,125,70,61,88,69,17,37,46,14,16,88,78,125,62,14,52,27,18,34,53,4,7,57,16,15,32,86,110,211,52
2013,US Open,us-open,560,"New York, NY, U.S.A.",2013.08.26 - 2013.09.08,128,64,Outdoor,Hard,Roger Federer,roger-federer,f324,180,7,Round of 32,Adrian Mannarino,adrian-mannarino,me82,63,W,63 60 62,3,0,3,18,5,23,,,,01:21:00,81,8,4,39,69,57,36,39,92,15,30,50,1,1,100,51,69,74,21,48,44,18,27,67,6,14,43,12,11,39,75,90,144,63,1,0,48,75,64,27,48,56,9,27,33,8,14,57,36,75,48,3,39,8,15,30,50,0,1,0,11,12,18,69,54,144,38
2013,US Open,us-open,560,"New York, NY, U.S.A.",2013.08.26 - 2013.09.08,128,64,Outdoor,Hard,Roger Federer,roger-federer,f324,180,7,Round of 64,Carlos Berlocq,carlos-berlocq,b884,48,W,63 62 61,3,0,3,18,6,24,,,,01:35:00,95,6,2,36,69,52,27,36,75,22,33,67,2,3,67,49,69,71,34,70,49,11,13,85,7,13,54,12,12,45,83,94,152,62,1,2,70,83,84,36,70,51,2,13,15,6,13,46,38,83,46,9,36,25,11,33,33,1,3,33,12,12,20,69,58,152,38
2013,US Open,us-open,560,"New York, NY, U.S.A.",2013.08.26 - 2013.09.08,128,64,Outdoor,Hard,Roger Federer,roger-federer,f324,180,7,Round of 128,Grega Zemlja,grega-zemlja,z189,62,W,63 62 75,3,0,3,19,10,29,,,,01:33:00,93,12,2,49,80,61,42,49,86,20,31,65,2,3,67,62,80,78,14,43,33,27,45,60,5,11,45,15,14,41,88,103,168,61,8,9,43,88,49,29,43,67,18,45,40,6,11,55,47,88,53,7,49,14,11,31,35,1,3,33,14,15,18,80,65,168,39
2013,ATP World Tour Masters 1000 Cincinnati,cincinnati,422,"Cincinnati, OH, U.S.A.",2013.08.12 - 2013.08.18,56,24,Outdoor,Hard,Roger Federer,roger-federer,f324,180,5,Quarter-Finals,Rafael Nadal,rafael-nadal,n409,3,L,75 46 36,1,2,3,14,17,31,,,,02:14:00,134,4,0,65,102,64,44,65,68,23,37,62,7,9,78,67,102,66,18,69,26,10,25,40,1,2,50,15,16,28,94,95,196,48,3,1,69,94,73,51,69,74,15,25,60,1,2,50,66,94,70,21,65,32,14,37,38,2,9,22,16,15,35,102,101,196,52
