tourney_year,tourney_name,tourney_name_slug,tourney_id,tourney_location,tourney_dates,tourney_singles_draw,tourney_doubles_draw,tourney_conditions,tourney_surface,player_name,player_slug,player_id,player_event_points,player_ranking,match_round,opponent_name,opponent_name_slug,opponent_player_id,opponent_rank,match_win_loss,match_score,sets_won,sets_lost,sets_total,games_won,games_lost,games_total,tiebreaks_won,tiebreaks_lost,tiebreaks_total,match_time,match_duration,player_aces,player_double_faults,player_first_serves_in,player_first_serves_total,player_first_serve_percentage,player_first_serve_points_won,player_first_serve_points_total,player_first_serve_points_won_percentage,player_second_serve_points_won,player_second_serve_points_total,player_second_serve_points_won_percentage,player_break_points_saved,player_break_points_serve_total,player_break_points_saved_percentage,player_service_points_won,player_service_points_total,player_service_points_won_percentage,player_first_serve_return_won,player_first_serve_return_total,player_first_serve_return_percentage,player_second_serve_return_won,player_second_serve_return_total,player_second_serve_return_won_percentage,player_break_points_converted,player_break_points_return_total,player_break_points_converted_percentage,player_service_games_played,player_return_games_played,player_return_points_won,player_return_points_total,player_total_points_won,player_total_points_total,player_total_points_won_percentage,opponent_aces,opponent_double_faults,opponent_first_serves_in,opponent_first_serves_total,opponent_first_serve_percentage,opponent_first_serve_points_won,opponent_first_serve_points_total,opponent_first_serve_points_won_percentage,opponent_second_serve_points_won,opponent_second_serve_points_total,opponent_second_serve_points_won_percentage,opponent_break_points_saved,opponent_break_points_serve_total,opponent_break_points_saved_percentage,opponent_service_points_won,opponent_service_points_total,opponent_service_points_won_percentage,opponent_first_serve_return_won,opponent_first_serve_return_total,opponent_first_serve_return_percentage,opponent_second_serve_return_won,opponent_second_serve_return_total,opponent_second_serve_return_won_percentage,opponent_break_points_converted,opponent_break_points_return_total,opponent_break_points_converted_percentage,opponent_service_games_played,opponent_return_games_played,opponent_return_points_won,opponent_return_points_total,opponent_total_points_won,opponent_total_points_total,opponent_total_points_won_percentage
1999,Brest,,,"Brest, France",1999.10.25 - 1999.10.31,32,16,Indoor,Hard,Roger Federer,roger-federer,f324,97,66,Finals,Max Mirnyi,max-mirnyi,m595,90,W,76(4) 63,2,0,2,13,9,22,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,Brest,,,"Brest, France",1999.10.25 - 1999.10.31,32,16,Indoor,Hard,Roger Federer,roger-federer,f324,97,66,Semi-Finals,Martin Damm,martin-damm,d214,134,W,63 76(4) ,2,0,2,13,9,22,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,Brest,,,"Brest, France",1999.10.25 - 1999.10.31,32,16,Indoor,Hard,Roger Federer,roger-federer,f324,97,66,Quarter-Finals,Michael Llodra,michael-llodra,l428,333,W,63 63,2,0,2,12,6,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,Brest,,,"Brest, France",1999.10.25 - 1999.10.31,32,16,Indoor,Hard,Roger Federer,roger-federer,f324,97,66,Round of 16,Rodolphe Gilbert,rodolphe-gilbert,g108,180,W,64 63,2,0,2,12,7,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,Brest,,,"Brest, France",1999.10.25 - 1999.10.31,32,16,Indoor,Hard,Roger Federer,roger-federer,f324,97,66,Round of 32,Lionel Roux,lionel-roux,r280,191,W,63 46 64,2,1,3,16,13,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,Lyon,,,"Lyon, France",1999.10.18 - 1999.10.24,48,16,Indoor,Carpet,Roger Federer,roger-federer,f324,18,67,Round of 32,Lleyton Hewitt,lleyton-hewitt,h432,27,L,67(4) 62 46,1,2,3,16,15,31,0,1,1,02:11:00,131,5,4,54,109,50,39,54,72,26,55,47,6,10,60,65,109,60,15,47,32,25,50,50,5,12,42,15,15,40,97,105,206,51,3,1,47,97,48,32,47,68,25,50,50,7,12,58,57,97,59,15,54,28,29,55,53,4,10,40,15,15,44,109,101,206,49
1999,Lyon,,,"Lyon, France",1999.10.18 - 1999.10.24,48,16,Indoor,Carpet,Roger Federer,roger-federer,f324,18,67,Round of 64,Daniel Vacek,daniel-vacek,v141,53,W,63 64,2,0,2,12,7,19,,,,01:10:00,70,2,1,33,57,58,25,33,76,15,24,63,4,5,80,40,57,70,9,32,28,22,37,59,4,7,57,9,10,31,69,71,126,56,3,4,32,69,46,23,32,72,15,37,41,3,7,43,38,69,55,8,33,24,9,24,38,1,5,20,10,9,17,57,55,126,44
1999,Vienna,vienna,337,"Vienna, Austria",1999.10.11 - 1999.10.17,32,16,Indoor,Hard,Roger Federer,roger-federer,f324,159,93,Semi-Finals,Greg Rusedski,greg-rusedski,r237,7,L,36 46,0,2,2,7,12,19,,,,01:02:00,62,4,3,41,63,65,28,41,68,11,22,50,1,3,33,39,63,62,3,31,10,5,17,29,0,0,0,9,10,8,48,47,111,42,7,1,31,48,65,28,31,90,12,17,71,0,0,0,40,48,83,13,41,32,11,22,50,2,3,67,10,9,24,63,64,111,58
1999,Vienna,vienna,337,"Vienna, Austria",1999.10.11 - 1999.10.17,32,16,Indoor,Hard,Roger Federer,roger-federer,f324,159,93,Quarter-Finals,Karol Kucera,karol-kucera,k237,15,W,26 64 61,2,1,3,14,11,25,,,,01:29:00,89,6,4,45,77,58,38,45,84,14,32,44,3,5,60,52,77,68,14,41,34,17,38,45,3,10,30,13,12,31,79,83,156,53,6,6,41,79,52,27,41,66,21,38,55,7,10,70,48,79,61,7,45,16,18,32,56,2,5,40,12,13,25,77,73,156,47
1999,Vienna,vienna,337,"Vienna, Austria",1999.10.11 - 1999.10.17,32,16,Indoor,Hard,Roger Federer,roger-federer,f324,159,93,Round of 16,Jiri Novak,jiri-novak,n254,34,W,76(8) 61,2,0,2,13,7,20,1,0,1,01:11:00,71,6,3,35,60,58,24,35,69,13,25,52,1,3,33,37,60,62,22,49,45,14,22,64,5,10,50,9,10,36,71,73,131,56,0,2,49,71,69,27,49,55,8,22,36,5,10,50,35,71,49,11,35,31,12,25,48,2,3,67,10,9,23,60,58,131,44
1999,Vienna,vienna,337,"Vienna, Austria",1999.10.11 - 1999.10.17,32,16,Indoor,Hard,Roger Federer,roger-federer,f324,159,93,Round of 32,Vincent Spadea,vincent-spadea,s544,21,W,64 62,2,0,2,12,6,18,,,,00:59:00,59,4,1,28,51,55,24,28,86,9,23,39,1,3,33,33,51,65,7,20,35,20,31,65,5,7,71,9,9,27,51,60,102,59,3,5,20,51,39,13,20,65,11,31,35,2,7,29,24,51,47,4,28,14,14,23,61,2,3,67,9,9,18,51,42,102,41
1999,Basel,basel,328,"Basel, Switzerland",1999.10.04 - 1999.10.10,32,16,Indoor,Carpet,Roger Federer,roger-federer,f324,54,106,Quarter-Finals,Tim Henman,tim-henman,h336,6,L,36 57,0,2,2,8,13,21,,,,01:24:00,84,2,3,54,79,68,28,54,52,14,25,56,6,10,60,42,79,53,13,45,29,8,20,40,2,3,67,10,11,21,65,63,144,44,8,1,45,65,69,32,45,71,12,20,60,1,3,33,44,65,68,26,54,48,11,25,44,4,10,40,11,10,37,79,81,144,56
1999,Basel,basel,328,"Basel, Switzerland",1999.10.04 - 1999.10.10,32,16,Indoor,Carpet,Roger Federer,roger-federer,f324,54,106,Round of 16,Alexander Popp,alexander-popp,p395,134,W,62 75,2,0,2,13,7,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,Basel,basel,328,"Basel, Switzerland",1999.10.04 - 1999.10.10,32,16,Indoor,Carpet,Roger Federer,roger-federer,f324,54,106,Round of 32,Martin Damm,martin-damm,d214,105,W,62 36 64,2,1,3,15,12,27,,,,01:36:00,96,4,1,45,79,57,34,45,76,18,34,53,2,4,50,52,79,66,9,32,28,14,35,40,3,3,100,14,13,23,67,75,146,51,3,2,32,67,48,23,32,72,21,35,60,0,3,0,44,67,66,11,45,24,16,34,47,2,4,50,13,14,27,79,71,146,49
