tourney_year,tourney_name,tourney_name_slug,tourney_id,tourney_location,tourney_dates,tourney_singles_draw,tourney_doubles_draw,tourney_conditions,tourney_surface,player_name,player_slug,player_id,player_event_points,player_ranking,match_round,opponent_name,opponent_name_slug,opponent_player_id,opponent_rank,match_win_loss,match_score,sets_won,sets_lost,sets_total,games_won,games_lost,games_total,tiebreaks_won,tiebreaks_lost,tiebreaks_total,match_time,match_duration,player_aces,player_double_faults,player_first_serves_in,player_first_serves_total,player_first_serve_percentage,player_first_serve_points_won,player_first_serve_points_total,player_first_serve_points_won_percentage,player_second_serve_points_won,player_second_serve_points_total,player_second_serve_points_won_percentage,player_break_points_saved,player_break_points_serve_total,player_break_points_saved_percentage,player_service_points_won,player_service_points_total,player_service_points_won_percentage,player_first_serve_return_won,player_first_serve_return_total,player_first_serve_return_percentage,player_second_serve_return_won,player_second_serve_return_total,player_second_serve_return_won_percentage,player_break_points_converted,player_break_points_return_total,player_break_points_converted_percentage,player_service_games_played,player_return_games_played,player_return_points_won,player_return_points_total,player_total_points_won,player_total_points_total,player_total_points_won_percentage,opponent_aces,opponent_double_faults,opponent_first_serves_in,opponent_first_serves_total,opponent_first_serve_percentage,opponent_first_serve_points_won,opponent_first_serve_points_total,opponent_first_serve_points_won_percentage,opponent_second_serve_points_won,opponent_second_serve_points_total,opponent_second_serve_points_won_percentage,opponent_break_points_saved,opponent_break_points_serve_total,opponent_break_points_saved_percentage,opponent_service_points_won,opponent_service_points_total,opponent_service_points_won_percentage,opponent_first_serve_return_won,opponent_first_serve_return_total,opponent_first_serve_return_percentage,opponent_second_serve_return_won,opponent_second_serve_return_total,opponent_second_serve_return_won_percentage,opponent_break_points_converted,opponent_break_points_return_total,opponent_break_points_converted_percentage,opponent_service_games_played,opponent_return_games_played,opponent_return_points_won,opponent_return_points_total,opponent_total_points_won,opponent_total_points_total,opponent_total_points_won_percentage
2009,Barclays ATP World Tour Finals,barclays-atp-world-tour-finals,605,"London, England",2009.11.23 - 2009.11.29,8,8,Indoor,Hard,Roger Federer,roger-federer,f324,400,1,Semi-Finals,Nikolay Davydenko,nikolay-davydenko,d402,7,L,26 64 57,1,2,3,13,17,30,,,,01:56:00,116,8,3,50,77,65,41,50,82,11,27,41,1,5,20,52,77,68,15,49,31,14,41,34,2,6,33,15,15,29,90,81,167,49,4,1,49,90,54,34,49,69,27,41,66,4,6,67,61,90,68,9,50,18,16,27,59,4,5,80,15,15,25,77,86,167,51
2009,Barclays ATP World Tour Finals,barclays-atp-world-tour-finals,605,"London, England",2009.11.23 - 2009.11.29,8,8,Indoor,Hard,Roger Federer,roger-federer,f324,400,1,Round Robin,Juan Martin del Potro,juan-martin-del-potro,d683,5,L,26 76(5) 36,1,2,3,12,18,30,1,0,1,02:07:00,127,6,4,51,82,62,40,51,78,17,31,55,4,7,57,57,82,70,11,56,20,18,41,44,0,3,0,14,15,29,97,86,179,48,11,2,56,97,58,45,56,80,23,41,56,3,3,100,68,97,70,11,51,22,14,31,45,3,7,43,15,14,25,82,93,179,52
2009,Barclays ATP World Tour Finals,barclays-atp-world-tour-finals,605,"London, England",2009.11.23 - 2009.11.29,8,8,Indoor,Hard,Roger Federer,roger-federer,f324,400,1,Round Robin,Andy Murray,andy-murray,mc10,4,W,36 63 61,2,1,3,15,10,25,,,,01:58:00,118,6,1,43,67,64,37,43,86,9,24,38,3,5,60,46,67,69,13,46,28,34,55,62,5,13,38,12,13,47,101,93,168,55,9,8,46,101,46,33,46,72,21,55,38,8,13,62,54,101,53,6,43,14,15,24,63,2,5,40,13,12,21,67,75,168,45
2009,Barclays ATP World Tour Finals,barclays-atp-world-tour-finals,605,"London, England",2009.11.23 - 2009.11.29,8,8,Indoor,Hard,Roger Federer,roger-federer,f324,400,1,Round Robin,Fernando Verdasco,fernando-verdasco,v306,8,W,46 75 61,2,1,3,17,12,29,,,,02:00:00,120,4,2,56,81,69,44,56,79,15,25,60,2,3,67,59,81,73,23,66,35,11,23,48,3,5,60,15,14,34,89,93,170,55,1,3,66,89,74,43,66,65,12,23,52,2,5,40,55,89,62,12,56,21,10,25,40,1,3,33,14,15,22,81,77,170,45
2009,ATP World Tour Masters 1000 Paris,paris,352,"Paris, France",2009.11.09 - 2009.11.15,48,24,Indoor,Hard,Roger Federer,roger-federer,f324,10,1,Round of 32,Julien Benneteau,julien-benneteau,b747,49,L,63 67(4) 46,1,2,3,16,16,32,0,1,1,01:55:00,115,14,0,70,96,73,57,70,81,13,26,50,6,7,86,70,96,73,15,72,21,8,19,42,1,7,14,16,15,23,91,93,187,50,7,2,72,91,79,57,72,79,11,19,58,6,7,86,68,91,75,13,70,19,13,26,50,1,7,14,15,16,26,96,94,187,50
2009,Basel,basel,328,"Basel, Switzerland",2009.11.02 - 2009.11.08,32,16,Indoor,Hard,Roger Federer,roger-federer,f324,300,1,Finals,Novak Djokovic,novak-djokovic,d643,3,L,46 64 26,1,2,3,12,16,28,,,,02:11:00,131,10,1,61,86,71,42,61,69,11,25,44,4,8,50,53,86,62,18,63,29,16,35,46,2,11,18,14,14,34,98,87,184,47,6,7,63,98,64,45,63,71,19,35,54,9,11,82,64,98,65,19,61,31,14,25,56,4,8,50,14,14,33,86,97,184,53
2009,Basel,basel,328,"Basel, Switzerland",2009.11.02 - 2009.11.08,32,16,Indoor,Hard,Roger Federer,roger-federer,f324,300,1,Semi-Finals,Marco Chiudinelli,marco-chiudinelli,c582,73,W,76(7) 63,2,0,2,13,9,22,1,0,1,01:25:00,85,4,0,44,63,70,36,44,82,15,19,79,3,3,100,51,63,81,13,52,25,8,15,53,1,3,33,11,10,21,67,72,130,55,1,2,52,67,78,39,52,75,7,15,47,2,3,67,46,67,69,8,44,18,4,19,21,0,3,0,10,11,12,63,58,130,45
2009,Basel,basel,328,"Basel, Switzerland",2009.11.02 - 2009.11.08,32,16,Indoor,Hard,Roger Federer,roger-federer,f324,300,1,Quarter-Finals,Evgeny Korolev,evgeny-korolev,k760,58,W,63 62,2,0,2,12,5,17,,,,00:56:00,56,7,0,41,55,75,32,41,78,8,14,57,2,2,100,40,55,73,7,25,28,10,18,56,3,4,75,9,8,17,43,57,98,58,3,2,25,43,58,18,25,72,8,18,44,1,4,25,26,43,60,9,41,22,6,14,43,0,2,0,8,9,15,55,41,98,42
2009,Basel,basel,328,"Basel, Switzerland",2009.11.02 - 2009.11.08,32,16,Indoor,Hard,Roger Federer,roger-federer,f324,300,1,Round of 16,Andreas Seppi,andreas-seppi,sa93,51,W,63 63,2,0,2,12,6,18,,,,01:01:00,61,6,0,38,55,69,30,38,79,10,17,59,2,2,100,40,55,73,14,37,38,9,19,47,3,7,43,9,9,23,56,63,111,57,2,1,37,56,66,23,37,62,10,19,53,4,7,57,33,56,59,8,38,21,7,17,41,0,2,0,9,9,15,55,48,111,43
2009,Basel,basel,328,"Basel, Switzerland",2009.11.02 - 2009.11.08,32,16,Indoor,Hard,Roger Federer,roger-federer,f324,300,1,Round of 32,Olivier Rochus,olivier-rochus,r397,61,W,63 64,2,0,2,12,7,19,,,,01:07:00,67,12,1,37,55,67,32,37,86,10,18,56,0,0,0,42,55,76,14,36,39,9,23,39,2,2,100,10,9,23,59,65,114,57,1,0,36,59,61,22,36,61,14,23,61,0,2,0,36,59,61,5,37,14,8,18,44,0,0,0,9,10,13,55,49,114,43
