1967-580,1,australian-championships,/en/scores/archive/australian-championships/580/1967/results,Round of 32,5,9,Bill Bowrey,b224,bill-bowrey,Terry Addison,a056,terry-addison,9,,63 61 61,3,0,18,5,0,0,1967-580-2-8-b224-a056,
1967-580,1,australian-championships,/en/scores/archive/australian-championships/580/1967/results,Round of 32,5,10,Jim McManus,m144,jim-mcmanus,Kenneth Andersson,a450,kenneth-andersson,10,,63 61 16 119,3,1,24,19,0,0,1967-580-2-7-m144-a450,
1967-580,1,australian-championships,/en/scores/archive/australian-championships/580/1967/results,Round of 32,5,11,Ray Ruffels,r076,ray-ruffels,D. Richard Russell,r077,d.-richard-russell,11,,75 61 60,3,0,19,6,0,0,1967-580-2-6-r076-r077,
1967-580,1,australian-championships,/en/scores/archive/australian-championships/580/1967/results,Round of 32,5,12,John Cottrill,c197,john-cottrill,Patrick Hombergen,h127,patrick-hombergen,,12,36 75 46 60 40 (RET),3,2,24,17,0,0,1967-580-2-5-c197-h127,
1967-580,1,australian-championships,/en/scores/archive/australian-championships/580/1967/results,Round of 32,5,13,Barry Phillips-Moore,p078,barry-phillips-moore,Dick Crealy,c093,dick-crealy,13,,68 64 63 63,3,1,24,18,0,0,1967-580-2-4-p078-c093,
1967-580,1,australian-championships,/en/scores/archive/australian-championships/580/1967/results,Round of 32,5,14,Jim Osborne,o046,jim-osborne,John Blizzard,b206,john-blizzard,14,,75 86 63,3,0,21,14,0,0,1967-580-2-3-o046-b206,
1967-580,1,australian-championships,/en/scores/archive/australian-championships/580/1967/results,Round of 32,5,15,William Coghlan,c228,william-coghlan,Brenton Higgins,h197,brenton-higgins,15,,57 63 75 61,3,1,24,16,0,0,1967-580-2-2-c228-h197,
1967-580,1,australian-championships,/en/scores/archive/australian-championships/580/1967/results,Round of 32,5,16,Allan Stone,s148,allan-stone,Dave Power,p195,dave-power,,16,63 16 63 64,3,1,19,16,0,0,1967-580-2-1-s148-p195,
1967-580,1,australian-championships,/en/scores/archive/australian-championships/580/1967/results,Round of 64,6,1,John Newcombe,n044,john-newcombe,Karl Coombes,c087,karl-coombes,3,,63 62 60,3,0,18,5,0,0,1967-580-1-27-n044-c087,
1967-580,1,australian-championships,/en/scores/archive/australian-championships/580/1967/results,Round of 64,6,2,Cliff Richey,r071,cliff-richey,Colin Stubs,s244,colin-stubs,4,,62 62 86,3,0,20,10,0,0,1967-580-1-26-r071-s244,
