1991-7308-MS031-1-15-c243-m093,adelaide,/en/scores/1991/7308/MS031/match-stats?isLive=False,01:53:00,113,c243,299,6,3,48,68,38,48,11,20,1,2,12,155,15,51,25,38,4,15,12,49,68,40,89,89,157,m093,235,9,2,51,89,36,51,13,38,11,15,12,124,10,48,9,20,1,2,12,49,89,19,68,68,157
1991-7308-MS027-1-14-a031-s055,adelaide,/en/scores/1991/7308/MS027/match-stats?isLive=False,01:20:00,80,a031,264,1,3,42,63,26,42,13,21,4,6,8,206,13,28,11,19,3,5,7,39,63,24,47,63,110,s055,214,1,0,28,47,15,28,8,19,2,5,7,134,16,42,8,21,2,6,8,23,47,24,63,47,110
1991-7308-MS020-1-13-r023-b350,adelaide,/en/scores/1991/7308/MS020/match-stats?isLive=False,01:30:00,90,r023,275,4,2,40,72,33,40,14,32,7,8,10,176,13,41,21,36,4,8,11,47,72,34,77,81,149,b350,226,2,2,41,77,28,41,15,36,4,8,11,97,7,40,18,32,1,8,10,43,77,25,72,68,149
1991-7308-MS024-1-11-s351-f031,adelaide,/en/scores/1991/7308/MS024/match-stats?isLive=False,01:07:00,67,s351,230,7,1,32,49,28,32,12,17,0,0,10,119,15,42,9,22,2,9,10,40,49,24,64,64,113,f031,271,2,0,42,64,27,42,13,22,7,9,10,42,4,32,5,17,0,0,10,40,64,9,49,49,113
1991-7308-MS028-1-10-w035-k016,adelaide,/en/scores/1991/7308/MS028/match-stats?isLive=False,01:39:00,99,w035,275,4,2,30,65,23,30,21,35,3,4,10,158,9,35,22,32,3,9,10,44,65,31,67,75,132,k016,226,4,5,35,67,26,35,10,32,6,9,10,98,7,30,14,35,1,4,10,36,67,21,65,57,132
1991-7308-MS019-1-9-w136-r186,adelaide,/en/scores/1991/7308/MS019/match-stats?isLive=False,01:25:00,85,w136,280,2,0,0,60,30,40,14,20,0,0,9,163,15,45,18,29,3,8,10,44,60,33,74,77,134,r186,236,3,3,45,74,30,45,11,29,5,8,10,55,10,40,6,20,0,0,9,41,74,16,60,57,134
1991-7308-MS025-1-8-b051-s443,adelaide,/en/scores/1991/7308/MS025/match-stats?isLive=False,03:01:00,181,b051,274,2,0,0,120,59,88,16,32,11,14,17,152,17,69,37,62,4,9,17,75,120,54,131,129,251,s443,238,11,17,69,131,52,69,25,62,5,9,17,121,29,88,16,32,3,14,17,77,131,45,120,122,251
1991-7308-MS030-1-7-h223-p014,adelaide,/en/scores/1991/7308/MS030/match-stats?isLive=False,02:32:00,152,h223,271,3,3,31,62,24,31,19,31,0,2,12,184,21,45,13,28,5,10,12,43,62,34,73,77,135,p014,226,0,1,45,73,24,45,15,28,5,10,12,178,7,31,12,31,2,2,12,39,73,19,62,58,135
1991-7308-MS018-1-6-k030-p004,adelaide,/en/scores/1991/7308/MS018/match-stats?isLive=False,01:11:00,71,k030,283,6,1,31,54,24,31,13,23,0,0,8,215,15,37,17,23,4,8,8,37,54,32,60,69,114,p004,197,2,2,37,60,22,37,6,23,4,8,8,66,7,31,10,23,0,0,8,28,60,17,54,45,114
1991-7308-MS022-1-5-k181-r193,adelaide,/en/scores/1991/7308/MS022/match-stats?isLive=False,01:03:00,63,k181,275,3,0,0,46,18,22,16,24,0,0,8,202,6,22,17,25,4,7,8,34,46,23,47,57,93,r193,198,0,4,22,47,16,22,8,25,3,7,8,51,4,22,8,24,0,0,8,24,47,12,46,36,93
1991-7308-MS021-1-4-s424-c028,adelaide,/en/scores/1991/7308/MS021/match-stats?isLive=False,01:28:00,88,s424,246,2,1,45,61,32,45,4,16,7,9,8,213,25,45,9,17,6,16,9,36,61,34,62,70,123,c028,198,1,0,45,62,20,45,8,17,10,16,9,151,13,45,12,16,2,9,8,28,62,25,61,53,123
1991-7308-MS029-1-3-s367-j008,adelaide,/en/scores/1991/7308/MS029/match-stats?isLive=False,01:29:00,89,s367,257,1,4,44,80,30,44,20,36,8,10,11,156,14,42,17,27,3,10,10,50,80,31,69,81,149,j008,234,3,4,42,69,28,42,10,27,7,10,10,114,14,44,16,36,2,10,11,38,69,30,80,68,149
1991-7308-MS026-1-2-s331-e106,adelaide,/en/scores/1991/7308/MS026/match-stats?isLive=False,00:57:00,57,s331,231,9,0,0,48,25,28,15,20,0,0,10,150,8,27,11,23,2,4,9,40,48,19,50,59,98,e106,256,4,1,27,50,19,27,12,23,2,4,9,36,3,28,5,20,0,0,10,31,50,8,48,39,98
1991-7308-MS017-1-1-z006-k021,adelaide,/en/scores/1991/7308/MS017/match-stats?isLive=False,01:59:00,119,z006,299,19,4,56,101,45,56,25,45,9,10,15,108,6,41,16,43,1,2,15,70,101,22,84,92,185,k021,296,8,2,41,84,35,41,27,43,1,2,15,80,11,56,20,45,1,10,15,62,84,31,101,93,185
1991-354-MS002-4-2-f164-b040,wellington,/en/scores/1991/354/MS002/match-stats?isLive=False,02:35:00,155,f164,273,11,2,70,114,54,70,22,44,7,11,17,156,37,92,11,27,4,8,16,76,114,48,119,124,233,b040,271,1,1,92,119,55,92,16,27,4,8,16,132,16,70,22,44,4,11,17,71,119,38,114,109,233
1991-354-MS003-4-1-j084-c009,wellington,/en/scores/1991/354/MS003/match-stats?isLive=False,02:22:00,142,j084,266,6,5,64,100,45,64,20,36,1,5,16,141,17,62,40,68,5,19,17,65,100,57,130,122,230,c009,242,16,6,62,130,45,62,28,68,14,19,17,179,19,64,16,36,4,5,16,73,130,35,100,108,230
1991-354-MS005-3-4-f164-k024,wellington,/en/scores/1991/354/MS005/match-stats?isLive=False,02:21:00,141,f164,245,8,0,0,113,45,63,20,50,8,13,17,175,26,66,16,35,6,11,17,65,113,42,101,107,214,k024,243,0,1,66,101,40,66,19,35,5,11,17,156,18,63,30,50,5,13,17,59,101,48,113,107,214
1991-354-MS006-3-3-c009-h029,wellington,/en/scores/1991/354/MS006/match-stats?isLive=False,01:42:00,102,c009,242,7,2,23,80,19,23,30,57,6,9,11,189,11,31,16,28,4,7,10,49,80,27,59,76,139,h029,219,3,5,31,59,20,31,12,28,3,7,10,124,4,23,27,57,3,9,11,32,59,31,80,63,139
1991-354-MS004-3-2-b040-p198,wellington,/en/scores/1991/354/MS004/match-stats?isLive=False,01:27:00,87,b040,282,1,0,0,76,34,59,11,17,4,6,10,178,22,39,13,31,4,10,10,45,76,35,70,80,146,p198,219,2,1,39,70,17,39,18,31,6,10,10,130,25,59,6,17,2,6,10,35,70,31,76,66,146
1991-354-MS007-3-1-j084-s102,wellington,/en/scores/1991/354/MS007/match-stats?isLive=False,01:02:00,62,j084,267,1,1,25,45,14,25,16,20,2,4,8,247,20,35,12,20,6,11,8,30,45,32,55,62,100,s102,174,2,0,35,55,15,35,8,20,5,11,8,139,11,25,4,20,2,4,8,23,55,15,45,38,100
1991-354-MS010-2-8-f164-v002,wellington,/en/scores/1991/354/MS010/match-stats?isLive=False,01:12:00,72,f164,272,7,0,0,54,23,32,13,22,0,0,8,198,20,42,11,22,4,8,8,36,54,31,64,67,118,v002,215,1,4,42,64,22,42,11,22,4,8,8,69,9,32,9,22,0,0,8,33,64,18,54,51,118
1991-354-MS011-2-7-k024-m035,wellington,/en/scores/1991/354/MS011/match-stats?isLive=False,01:13:00,73,k024,312,1,0,0,56,33,44,8,12,2,3,10,211,13,37,17,26,4,6,9,41,56,30,63,71,119,m035,213,1,2,37,63,24,37,9,26,2,6,9,101,11,44,4,12,1,3,10,33,63,15,56,48,119
1991-354-MS012-2-6-c009-z045,wellington,/en/scores/1991/354/MS012/match-stats?isLive=False,01:14:00,74,c009,281,2,0,0,50,19,24,17,26,0,0,8,183,21,49,15,23,4,16,8,36,50,36,72,72,122,z045,213,7,4,49,72,28,49,8,23,12,16,8,56,5,24,9,26,0,0,8,36,72,14,50,50,122
1991-354-MS014-2-5-s102-a028,wellington,/en/scores/1991/354/MS014/match-stats?isLive=False,01:14:00,74,s102,232,2,1,46,73,30,46,10,27,7,10,9,249,15,31,17,25,6,9,9,40,73,32,56,72,129,a028,169,1,4,31,56,16,31,8,25,3,9,9,161,16,46,17,27,3,10,9,24,56,33,73,57,129
1991-354-MS009-2-4-p198-s015,wellington,/en/scores/1991/354/MS009/match-stats?isLive=False,01:10:00,70,p198,272,1,3,37,61,23,37,15,24,2,3,9,176,19,41,11,22,4,11,9,38,61,30,63,68,124,s015,225,3,2,41,63,22,41,11,22,7,11,9,120,14,37,9,24,1,3,9,33,63,23,61,56,124
1991-354-MS008-2-3-b040-m048,wellington,/en/scores/1991/354/MS008/match-stats?isLive=False,01:08:00,68,b040,270,2,1,37,49,25,37,6,12,4,6,8,247,24,47,6,8,6,11,9,31,49,30,55,61,104,m048,191,0,1,47,55,23,47,2,8,5,11,9,140,12,37,6,12,2,6,8,25,55,18,49,43,104
1991-354-MS013-2-2-h029-w011,wellington,/en/scores/1991/354/MS013/match-stats?isLive=False,01:15:00,75,h029,217,1,2,37,62,28,37,15,25,0,0,9,173,10,24,9,24,3,5,9,43,62,19,48,62,110,w011,238,2,1,24,48,14,24,15,24,2,5,9,64,9,37,10,25,0,0,9,29,48,19,62,48,110
1991-354-MS015-2-1-j084-o076,wellington,/en/scores/1991/354/MS015/match-stats?isLive=False,01:03:00,63,j084,256,3,0,0,61,28,39,12,22,0,0,8,210,7,25,13,20,4,6,8,40,61,20,45,60,106,o076,212,1,2,25,45,18,25,7,20,2,6,8,73,11,39,10,22,0,0,8,25,45,21,61,46,106
1991-354-MS016-1-16-b040-c260,wellington,/en/scores/1991/354/MS016/match-stats?isLive=False,02:27:00,147,b040,257,3,2,56,94,37,56,21,38,3,6,12,122,30,72,12,34,3,15,12,58,94,42,106,100,200,c260,269,4,1,72,106,42,72,22,34,12,15,12,154,19,56,17,38,3,6,12,64,106,36,94,100,200
1991-354-MS031-1-15-j084-v037,wellington,/en/scores/1991/354/MS031/match-stats?isLive=False,01:06:00,66,j084,278,3,2,32,59,23,32,17,27,2,3,9,205,12,30,14,26,4,6,9,40,59,26,56,66,115,v037,215,2,2,30,56,18,30,12,26,2,6,9,109,9,32,10,27,1,3,9,30,56,19,59,49,115
