1980-206,18,,Cairo,206,cairo,Cairo,1980.03.03,1980,3,3,32,16,Outdoor,Clay,"$75,000",USD,75000,/en/scores/archive/cairo/206/1980/results,Corrado Barazzutti,/en/players/corrado-barazzutti/b007/overview,corrado-barazzutti,b007,Ismail El Shafei,/en/players/ismail-el-shafei/e038/overview,ismail-el-shafei,e038,Tom Okker,/en/players/tom-okker/o032/overview,tom-okker,o032
1980-407,19,,Rotterdam WCT,407,rotterdam,Rotterdam,1980.03.10,1980,3,10,32,16,Indoor,Carpet,"$175,000",USD,175000,/en/scores/archive/rotterdam/407/1980/results,Heinz Gunthardt,/en/players/heinz-gunthardt/g050/overview,heinz-gunthardt,g050,Vijay Amritraj,/en/players/vijay-amritraj/a022/overview,vijay-amritraj,a022,Stan Smith,/en/players/stan-smith/s060/overview,stan-smith,s060
1980-714,20,,San Jose Costa Rica,714,san-jose,San Jose,1980.03.10,1980,3,10,32,16,Outdoor,Hard,"$50,000",USD,50000,/en/scores/archive/san-jose/714/1980/results,Jose-Luis Clerc,/en/players/jose-luis-clerc/c039/overview,jose-luis-clerc,c039,Jaime Fillol Sr.,/en/players/jaime-fillol-sr./f024/overview,jaime-fillol-sr.,f024,Alvaro Fillol,/en/players/alvaro-fillol/f025/overview,alvaro-fillol,f025
1980-357,21,,Stuttgart Indoor,357,stuttgart,Stuttgart,1980.03.10,1980,3,10,32,16,Indoor,Hard,"$50,000",USD,50000,/en/scores/archive/stuttgart/357/1980/results,Tomas Smid,/en/players/tomas-smid/s058/overview,tomas-smid,s058,Wojtek Fibak,/en/players/wojtek-fibak/f020/overview,wojtek-fibak,f020,Tomas Smid,/en/players/tomas-smid/s058/overview,tomas-smid,s058
1980-348,22,,Frankfurt WCT,348,frankfurt,Frankfurt,1980.03.17,1980,3,17,32,16,Indoor,Carpet,"$175,000",USD,175000,/en/scores/archive/frankfurt/348/1980/results,Stan Smith,/en/players/stan-smith/s060/overview,stan-smith,s060,Vijay Amritraj,/en/players/vijay-amritraj/a022/overview,vijay-amritraj,a022,Stan Smith,/en/players/stan-smith/s060/overview,stan-smith,s060
1980-7305,23,,Metz,7305,metz,Metz,1980.03.17,1980,3,17,32,16,Indoor,Hard,"$50,000",USD,50000,/en/scores/archive/metz/7305/1980/results,Gene Mayer,/en/players/gene-mayer/m038/overview,gene-mayer,m038,Colin Dibley,/en/players/colin-dibley/d076/overview,colin-dibley,d076,Gene Mayer,/en/players/gene-mayer/m038/overview,gene-mayer,m038
1980-408,24,,Milan WCT,408,milan,Milan,1980.03.24,1980,3,24,32,16,Indoor,Carpet,"$200,000",USD,200000,/en/scores/archive/milan/408/1980/results,John McEnroe,/en/players/john-mcenroe/m047/overview,john-mcenroe,m047,Peter Fleming,/en/players/peter-fleming/f030/overview,peter-fleming,f030,John McEnroe,/en/players/john-mcenroe/m047/overview,john-mcenroe,m047
1980-716,25,,Dayton,716,dayton,Dayton,1980.03.24,1980,3,24,32,16,Indoor,Carpet,"$75,000",USD,75000,/en/scores/archive/dayton/716/1980/results,Wojtek Fibak,/en/players/wojtek-fibak/f020/overview,wojtek-fibak,f020,Wojtek Fibak,/en/players/wojtek-fibak/f020/overview,wojtek-fibak,f020,Geoff Masters,/en/players/geoff-masters/m139/overview,geoff-masters,m139
1980-6120,26,,Nice,6120,nice,Nice,1980.03.24,1980,3,24,32,16,Outdoor,Clay,"$50,000",USD,50000,/en/scores/archive/nice/6120/1980/results,Bjorn Borg,/en/players/bjorn-borg/b058/overview,bjorn-borg,b058,Christofer Delaney,/en/players/christofer-delaney/d071/overview,christofer-delaney,d071,Kim Warwick,/en/players/kim-warwick/w006/overview,kim-warwick,w006
1980-410,27,,Monte Carlo WCT,410,monte-carlo,Monte Carlo,1980.03.31,1980,3,31,32,16,Outdoor,Clay,"$175,000",USD,175000,/en/scores/archive/monte-carlo/410/1980/results,Bjorn Borg,/en/players/bjorn-borg/b058/overview,bjorn-borg,b058,Paolo Bertolucci,/en/players/paolo-bertolucci/b129/overview,paolo-bertolucci,b129,Adriano Panatta,/en/players/adriano-panatta/p059/overview,adriano-panatta,p059
1980-715,28,,New Orleans,715,new-orleans,New Orleans,1980.03.31,1980,3,31,32,16,Indoor,Carpet,"$75,000",USD,75000,/en/scores/archive/new-orleans/715/1980/results,Wojtek Fibak,/en/players/wojtek-fibak/f020/overview,wojtek-fibak,f020,Terry Moor,/en/players/terry-moor/m081/overview,terry-moor,m081,Eliot Teltscher,/en/players/eliot-teltscher/t012/overview,eliot-teltscher,t012
1980-346,29,,Tampa,346,palm-harbor,Palm Harbor,1980.03.31,1980,3,31,32,16,Outdoor,Hard,"$50,000",USD,50000,/en/scores/archive/palm-harbor/346/1980/results,Paul McNamee,/en/players/paul-mcnamee/m050/overview,paul-mcnamee,m050,Paul Kronk,/en/players/paul-kronk/k073/overview,paul-kronk,k073,Paul McNamee,/en/players/paul-mcnamee/m050/overview,paul-mcnamee,m050
1980-405,30,,Houston WCT,405,houston,Houston,1980.04.07,1980,4,7,32,16,Outdoor,Clay,"$175,000",USD,175000,/en/scores/archive/houston/405/1980/results,Ivan Lendl,/en/players/ivan-lendl/l018/overview,ivan-lendl,l018,Paul McNamee,/en/players/paul-mcnamee/m050/overview,paul-mcnamee,m050,Peter McNamara,/en/players/peter-mcnamara/m051/overview,peter-mcnamara,m051
1980-711,31,,Tulsa,711,tulsa,Tulsa,1980.04.07,1980,4,7,32,16,Outdoor,Hard,"$50,000",USD,50000,/en/scores/archive/tulsa/711/1980/results,Howard Schoenfield,/en/players/howard-schoenfield/s137/overview,howard-schoenfield,s137,Robert Lutz,/en/players/robert-lutz/l045/overview,robert-lutz,l045,Dick Stockton,/en/players/dick-stockton/s090/overview,dick-stockton,s090
1980-9239,32,,Johannesburg,9239,johannesburg,Johannesburg,1980.04.08,1980,4,8,32,16,Outdoor,Hard,"$75,000",USD,75000,/en/scores/archive/johannesburg/9239/1980/results,Heinz Gunthardt,/en/players/heinz-gunthardt/g050/overview,heinz-gunthardt,g050,Bob Hewitt,/en/players/bob-hewitt/h058/overview,bob-hewitt,h058,Frew McMillan,/en/players/frew-mcmillan/m111/overview,frew-mcmillan,m111
1980-254,33,,Johannesburg,254,johannesburg,Johannesburg,1980.04.08,1980,4,8,32,16,Outdoor,Hard,"$75,000",USD,75000,/en/scores/archive/johannesburg/254/1980/results,Heinz Gunthardt,/en/players/heinz-gunthardt/g050/overview,heinz-gunthardt,g050,Bob Hewitt,/en/players/bob-hewitt/h058/overview,bob-hewitt,h058,Frew McMillan,/en/players/frew-mcmillan/m111/overview,frew-mcmillan,m111
1980-423,34,,Los Angeles,423,los-angeles,Los Angeles,1980.04.14,1980,4,14,64,32,Outdoor,Hard,"$175,000",USD,175000,/en/scores/archive/los-angeles/423/1980/results,Gene Mayer,/en/players/gene-mayer/m038/overview,gene-mayer,m038,Brian Teacher,/en/players/brian-teacher/t011/overview,brian-teacher,t011,Butch Walts,/en/players/butch-walts/w002/overview,butch-walts,w002
1980-413,35,,Las Vegas,413,las-vegas,Las Vegas,1980.04.22,1980,4,22,32,16,Outdoor,Hard,"$300,000",USD,300000,/en/scores/archive/las-vegas/413/1980/results,Bjorn Borg,/en/players/bjorn-borg/b058/overview,bjorn-borg,b058,Robert Lutz,/en/players/robert-lutz/l045/overview,robert-lutz,l045,Stan Smith,/en/players/stan-smith/s060/overview,stan-smith,s060
1980-610,36,,Dallas WCT,610,dallas,Dallas,1980.04.28,1980,4,28,8,0,Indoor,Carpet,"$200,000",USD,200000,/en/scores/archive/dallas/610/1980/results,Jimmy Connors,/en/players/jimmy-connors/c044/overview,jimmy-connors,c044,,,,,,,,
1980-275,37,,Sao Paulo,275,sao-paulo,Sao Paulo,1980.04.28,1980,4,28,32,16,Indoor,Carpet,"$175,000",USD,175000,/en/scores/archive/sao-paulo/275/1980/results,Wojtek Fibak,/en/players/wojtek-fibak/f020/overview,wojtek-fibak,f020,Anand Amritraj,/en/players/anand-amritraj/a021/overview,anand-amritraj,a021,Fritz Buehning,/en/players/fritz-buehning/b079/overview,fritz-buehning,b079
1980-415,38,,Forest Hills WCT,415,forest-hills,Forest Hills,1980.05.05,1980,5,5,32,16,Outdoor,Clay,"$500,000",USD,500000,/en/scores/archive/forest-hills/415/1980/results,Vitas Gerulaitis,/en/players/vitas-gerulaitis/g008/overview,vitas-gerulaitis,g008,Peter Fleming,/en/players/peter-fleming/f030/overview,peter-fleming,f030,John McEnroe,/en/players/john-mcenroe/m047/overview,john-mcenroe,m047
1980-615,39,,Nations Cup,615,duesseldorf,"Duesseldorf, Germany",1980.05.05,1980,5,5,16,8,Outdoor,Clay,"$400,000",USD,400000,/en/scores/archive/duesseldorf/615/1980/results,Jose-Luis Clerc,/en/players/jose-luis-clerc/c039/overview,jose-luis-clerc,c039,Jose-Luis Clerc,/en/players/jose-luis-clerc/c039/overview,jose-luis-clerc,c039,Guillermo Vilas,/en/players/guillermo-vilas/v028/overview,guillermo-vilas,v028
1980-414,40,,Hamburg,414,hamburg,Hamburg,1980.05.12,1980,5,12,64,32,Outdoor,Clay,"$200,000",USD,200000,/en/scores/archive/hamburg/414/1980/results,Harold Solomon,/en/players/harold-solomon/s065/overview,harold-solomon,s065,Andres Gomez,/en/players/andres-gomez/g023/overview,andres-gomez,g023,Heinz Gildemeister,/en/players/heinz-gildemeister/g066/overview,heinz-gildemeister,g066
1980-310,41,,Florence,310,florence,Florence,1980.05.12,1980,5,12,32,16,Outdoor,Clay,"$50,000",USD,50000,/en/scores/archive/florence/310/1980/results,Adriano Panatta,/en/players/adriano-panatta/p059/overview,adriano-panatta,p059,Gene Mayer,/en/players/gene-mayer/m038/overview,gene-mayer,m038,Raul Ramirez,/en/players/raul-ramirez/r065/overview,raul-ramirez,r065
1980-416,42,,Rome,416,rome,Rome,1980.05.19,1980,5,19,64,32,Outdoor,Clay,"$200,000",USD,200000,/en/scores/archive/rome/416/1980/results,Guillermo Vilas,/en/players/guillermo-vilas/v028/overview,guillermo-vilas,v028,Mark Edmondson,/en/players/mark-edmondson/e005/overview,mark-edmondson,e005,Kim Warwick,/en/players/kim-warwick/w006/overview,kim-warwick,w006
1980-308,43,,Munich,308,munich,Munich,1980.05.20,1980,5,20,32,16,Outdoor,Clay,"$75,000",USD,75000,/en/scores/archive/munich/308/1980/results,Rolf Gehring,/en/players/rolf-gehring/g007/overview,rolf-gehring,g007,Heinz Gunthardt,/en/players/heinz-gunthardt/g050/overview,heinz-gunthardt,g050,Bob Hewitt,/en/players/bob-hewitt/h058/overview,bob-hewitt,h058
1980-520,44,Grand Slam,Roland Garros,520,roland-garros,Paris,1980.05.26,1980,5,26,128,64,Outdoor,Clay,"$385,000",USD,385000,/en/scores/archive/roland-garros/520/1980/results,Bjorn Borg,/en/players/bjorn-borg/b058/overview,bjorn-borg,b058,Victor Amaya,/en/players/victor-amaya/a044/overview,victor-amaya,a044,Henry Pfister,/en/players/henry-pfister/p026/overview,henry-pfister,p026
1980-311,45,,London / Queen's Club,311,london,London,1980.06.09,1980,6,9,64,32,Outdoor,Grass,"$125,000",USD,125000,/en/scores/archive/london/311/1980/results,John McEnroe,/en/players/john-mcenroe/m047/overview,john-mcenroe,m047,Rod Frawley,/en/players/rod-frawley/f039/overview,rod-frawley,f039,Geoff Masters,/en/players/geoff-masters/m139/overview,geoff-masters,m139
1980-406,46,,Brussels,406,brussels,Brussels,1980.06.09,1980,6,9,32,16,Outdoor,Clay,"$50,000",USD,50000,/en/scores/archive/brussels/406/1980/results,Peter McNamara,/en/players/peter-mcnamara/m051/overview,peter-mcnamara,m051,Steve Krulevitz,/en/players/steve-krulevitz/k053/overview,steve-krulevitz,k053,Thierry Stevaux,/en/players/thierry-stevaux/s167/overview,thierry-stevaux,s167
1980-720,47,,Surbiton,720,surbiton,Surbiton,1980.06.16,1980,6,16,32,16,Outdoor,Grass,"$50,000",USD,50000,/en/scores/archive/surbiton/720/1980/results,Brian Gottfried,/en/players/brian-gottfried/g029/overview,brian-gottfried,g029,Mark Edmondson,/en/players/mark-edmondson/e005/overview,mark-edmondson,e005,Kim Warwick,/en/players/kim-warwick/w006/overview,kim-warwick,w006
1980-208,48,,Vienna Outdoor,208,vienna,Vienna,1980.06.18,1980,6,18,32,16,Outdoor,Clay,"$50,000",USD,50000,/en/scores/archive/vienna/208/1980/results,Angel Gimenez,/en/players/angel-gimenez/g017/overview,angel-gimenez,g017,Gianni Ocleppo,/en/players/gianni-ocleppo/o004/overview,gianni-ocleppo,o004,Christophe Roger-Vasselin,/en/players/christophe-roger-vasselin/r037/overview,christophe-roger-vasselin,r037
1980-540,49,Grand Slam,Wimbledon,540,wimbledon,London,1980.06.23,1980,6,23,128,64,Outdoor,Grass,"$350,000",USD,350000,/en/scores/archive/wimbledon/540/1980/results,Bjorn Borg,/en/players/bjorn-borg/b058/overview,bjorn-borg,b058,Paul McNamee,/en/players/paul-mcnamee/m050/overview,paul-mcnamee,m050,Peter McNamara,/en/players/peter-mcnamara/m051/overview,peter-mcnamara,m051
1980-314,50,,Gstaad,314,gstaad,Gstaad,1980.07.07,1980,7,7,32,16,Outdoor,Clay,"$125,000",USD,125000,/en/scores/archive/gstaad/314/1980/results,Heinz Gunthardt,/en/players/heinz-gunthardt/g050/overview,heinz-gunthardt,g050,Colin Dowdeswell,/en/players/colin-dowdeswell/d037/overview,colin-dowdeswell,d037,Ismail El Shafei,/en/players/ismail-el-shafei/e038/overview,ismail-el-shafei,e038
1980-315,51,,Newport,315,newport,Newport,1980.07.07,1980,7,7,32,16,Outdoor,Grass,"$100,000",USD,100000,/en/scores/archive/newport/315/1980/results,Vijay Amritraj,/en/players/vijay-amritraj/a022/overview,vijay-amritraj,a022,Andrew Pattison,/en/players/andrew-pattison/p074/overview,andrew-pattison,p074,Butch Walts,/en/players/butch-walts/w002/overview,butch-walts,w002
1980-417,52,,Boston,417,boston,Boston,1980.07.14,1980,7,14,64,32,Outdoor,Clay,"$175,000",USD,175000,/en/scores/archive/boston/417/1980/results,Eddie Dibbs,/en/players/eddie-dibbs/d026/overview,eddie-dibbs,d026,Gene Mayer,/en/players/gene-mayer/m038/overview,gene-mayer,m038,Sandy Mayer,/en/players/sandy-mayer/m039/overview,sandy-mayer,m039
1980-316,53,,Bastad,316,bastad,Bastad,1980.07.14,1980,7,14,32,16,Outdoor,Clay,"$75,000",USD,75000,/en/scores/archive/bastad/316/1980/results,Balazs Taroczy,/en/players/balazs-taroczy/t007/overview,balazs-taroczy,t007,Heinz Gunthardt,/en/players/heinz-gunthardt/g050/overview,heinz-gunthardt,g050,Markus Gunthardt,/en/players/markus-gunthardt/g060/overview,markus-gunthardt,g060
1980-321,54,,Stuttgart Outdoor,321,stuttgart,Stuttgart,1980.07.14,1980,7,14,32,16,Outdoor,Clay,"$75,000",USD,75000,/en/scores/archive/stuttgart/321/1980/results,Vitas Gerulaitis,/en/players/vitas-gerulaitis/g008/overview,vitas-gerulaitis,g008,Colin Dowdeswell,/en/players/colin-dowdeswell/d037/overview,colin-dowdeswell,d037,Frew McMillan,/en/players/frew-mcmillan/m111/overview,frew-mcmillan,m111
1980-418,55,,Washington,418,washington,Washington,1980.07.21,1980,7,21,64,32,Outdoor,Clay,"$175,000",USD,175000,/en/scores/archive/washington/418/1980/results,Brian Gottfried,/en/players/brian-gottfried/g029/overview,brian-gottfried,g029,Hans Gildemeister,/en/players/hans-gildemeister/g015/overview,hans-gildemeister,g015,Andres Gomez,/en/players/andres-gomez/g023/overview,andres-gomez,g023
1980-317,56,,Hilversum,317,hilversum,Hilversum,1980.07.21,1980,7,21,32,16,Outdoor,Clay,"$75,000",USD,75000,/en/scores/archive/hilversum/317/1980/results,Balazs Taroczy,/en/players/balazs-taroczy/t007/overview,balazs-taroczy,t007,Tom Okker,/en/players/tom-okker/o032/overview,tom-okker,o032,Balazs Taroczy,/en/players/balazs-taroczy/t007/overview,balazs-taroczy,t007
1980-319,57,,Kitzbuhel,319,kitzbuhel,Kitzbuhel,1980.07.21,1980,7,21,32,16,Outdoor,Clay,"$75,000",USD,75000,/en/scores/archive/kitzbuhel/319/1980/results,Guillermo Vilas,/en/players/guillermo-vilas/v028/overview,guillermo-vilas,v028,Klaus Eberhard,/en/players/klaus-eberhard/e003/overview,klaus-eberhard,e003,Ulrich Marten,/en/players/ulrich-marten/m137/overview,ulrich-marten,m137
1980-705,58,,North Conway,705,north-conway,North Conway,1980.07.27,1980,7,27,64,32,Outdoor,Clay,"$175,000",USD,175000,/en/scores/archive/north-conway/705/1980/results,Jimmy Connors,/en/players/jimmy-connors/c044/overview,jimmy-connors,c044,Jimmy Connors,/en/players/jimmy-connors/c044/overview,jimmy-connors,c044,Brian Gottfried,/en/players/brian-gottfried/g029/overview,brian-gottfried,g029
